公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率
1104 環泥,1104,1104,2022/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.42,2,0.51,-0.12,-0.09,19.4,15.09,15.09,12.73,15.47,9.21,9.21,10.93,9.94,4.98,-1.05,0.12
1104 環泥,1104,1104,2022/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.85,1,1.06,5.88,4.57,6.37,16.52,16.52,21.26,181.67,193.28,193.28,34.48,11.23,10.69,4.56,1.84
1104 環泥,1104,1104,2021/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.07,4,0.55,2.02,1.57,11.77,20.21,20.21,33.72,-0.56,-3.6,-3.6,-23.42,4.12,3.19,44.38,-0.02
1104 環泥,1104,1104,2021/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.76,3,0.3,2.15,1.69,12.22,16.74,16.74,27.28,-35.45,-49.12,-49.12,-49.68,4.94,5.99,52.42,-0.76
1104 環泥,1104,1104,2021/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.61,2,0.46,1.5,1.18,9.47,20.58,20.58,39.86,-28.14,-29,-29,-27.56,5.22,10.35,53.97,-0.49
1104 環泥,1104,1104,2021/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.23,1,0.35,1.24,0.97,14.89,48.86,48.86,109.97,411.5,392.41,392.41,394.08,6.24,7.62,46.35,0.8
1108 幸福,1108,1108,2023/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,17,2,0.37,2.15,1.05,31.95,22.18,22.18,19.05,30.99,29.76,29.76,11.61,10.85,6.81,19.32,0.41
1108 幸福,1108,1108,2023/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,14.15,1,0.31,2.67,1.32,24.04,42.38,42.38,69.8,122.13,131.78,131.78,85.57,19.72,5.71,4.54,0.82
1108 幸福,1108,1108,2022/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,10.75,4,0.68,6.23,3.14,39.24,133.39,133.39,184.6,156.69,196.68,196.68,261.09,20.15,5.6,6.15,2.05
1108 幸福,1108,1108,2022/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,10.3,3,0.33,2.26,1.15,27.98,118.28,118.28,201.44,248.69,279.64,279.64,282.44,17.41,1.36,8.72,1.17
1108 幸福,1108,1108,2022/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,10.16,2,0.29,1.12,0.6,-2.56,53.22,53.22,59.87,42.18,46.89,46.89,61.58,9.32,-0.41,11.28,0.47
1108 幸福,1108,1108,2022/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,11.15,1,0.14,1.17,0.66,-15.78,1.36,1.36,11.15,-1.25,0.84,0.84,9.39,1.4,0.49,14,-0.01
