證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張)
1108 幸福,2023/8/22,1108,-826,0,-15,-841
1108 幸福,2023/8/21,1108,-147,0,0,-147
1108 幸福,2023/8/18,1108,-871,0,49,-822
1108 幸福,2023/8/17,1108,-276,0,27,-249
1108 幸福,2023/8/16,1108,-637,0,6,-631
1108 幸福,2023/8/15,1108,-97,0,44,-53
1108 幸福,2023/8/14,1108,-221,0,-6,-227
1108 幸福,2023/8/11,1108,-548,0,-87,-635
1108 幸福,2023/8/10,1108,139,0,9,148
1108 幸福,2023/8/9,1108,-235,0,75,-160
1108 幸福,2023/8/8,1108,254,0,-12,242
1108 幸福,2023/8/7,1108,509,0,-53,456
1108 幸福,2023/8/4,1108,912,0,-12,900
1108 幸福,2023/8/2,1108,1189,0,56,1245
1108 幸福,2023/8/1,1108,627,0,36,663
1108 幸福,2023/7/31,1108,663,0,-15,648
1108 幸福,2023/7/28,1108,664,0,11,675
1108 幸福,2023/7/27,1108,1268,0,30,1298
1108 幸福,2023/7/26,1108,888,0,12,900
1108 幸福,2023/7/25,1108,885,0,64,949
1108 幸福,2023/7/24,1108,-139,0,1,-138
1108 幸福,2023/7/21,1108,260,0,-25,235
1108 幸福,2023/7/20,1108,466,0,-20,446
1108 幸福,2023/7/19,1108,-148,0,-20,-168
1108 幸福,2023/7/18,1108,-429,0,-14,-443
1108 幸福,2023/7/17,1108,43,0,-76,-33
1108 幸福,2023/7/14,1108,-74,0,0,-74
1108 幸福,2023/7/13,1108,-102,0,-187,-289
1108 幸福,2023/7/12,1108,-180,0,-89,-269
1108 幸福,2023/7/11,1108,-91,0,27,-64
1108 幸福,2023/7/10,1108,-677,0,-23,-700
1108 幸福,2023/7/7,1108,-271,0,-72,-343
1108 幸福,2023/7/6,1108,-299,0,-17,-316
1108 幸福,2023/7/5,1108,105,0,1,106
1108 幸福,2023/7/4,1108,-485,0,15,-470
1108 幸福,2023/7/3,1108,317,0,0,317
1108 幸福,2023/6/30,1108,-89,0,-7,-96
1108 幸福,2023/6/29,1108,-156,0,0,-156
1108 幸福,2023/6/28,1108,1006,0,-3,1003
1108 幸福,2023/6/27,1108,552,0,-9,543
1108 幸福,2023/6/26,1108,422,0,84,506
1108 幸福,2023/6/21,1108,1003,0,0,1003
1108 幸福,2023/6/20,1108,681,0,-8,673
1108 幸福,2023/6/19,1108,755,0,59,814
1108 幸福,2023/6/16,1108,1327,0,88,1415
1108 幸福,2023/6/15,1108,502,0,-2,500
1108 幸福,2023/6/14,1108,-8,0,-1,-9
1108 幸福,2023/6/13,1108,471,0,44,515
1108 幸福,2023/6/12,1108,-298,0,-94,-392
1108 幸福,2023/6/9,1108,794,0,550,1344
1108 幸福,2023/6/8,1108,-29,0,-45,-74
1108 幸福,2023/6/7,1108,45,0,-45,0
1108 幸福,2023/6/6,1108,50,0,-49,1
1108 幸福,2023/6/5,1108,233,0,-48,185
1108 幸福,2023/6/2,1108,130,0,-48,82
1108 幸福,2023/6/1,1108,-208,0,-53,-261
1109 信大,2023/9/19,1109,-31,0,24,-7
1109 信大,2023/9/18,1109,-39,0,-2,-41
1109 信大,2023/9/15,1109,-1,0,0,-1
1109 信大,2023/9/14,1109,-9,0,28,19
1109 信大,2023/9/13,1109,-17,0,109,92
1109 信大,2023/9/12,1109,-22,0,1,-21
1109 信大,2023/9/11,1109,-12,0,-8,-20
1109 信大,2023/9/8,1109,-7,0,-6,-13
1109 信大,2023/9/7,1109,-12,0,-11,-23
1109 信大,2023/9/6,1109,-71,0,-19,-90
1109 信大,2023/9/5,1109,0,0,0,0
1109 信大,2023/9/4,1109,2,0,-2,0
1109 信大,2023/9/1,1109,10,0,-2,8
1109 信大,2023/8/31,1109,-3,0,0,-3
1109 信大,2023/8/30,1109,17,0,1,18
1109 信大,2023/8/29,1109,12,0,0,12
1109 信大,2023/8/28,1109,17,0,-1,16
1109 信大,2023/8/25,1109,32,0,-5,27
1109 信大,2023/8/24,1109,36,0,0,36
1109 信大,2023/8/23,1109,11,0,0,11
1109 信大,2023/8/22,1109,-2,0,0,-2
1109 信大,2023/8/21,1109,58,0,0,58
1109 信大,2023/8/18,1109,42,0,-9,33
1109 信大,2023/8/17,1109,-14,0,4,-10
1109 信大,2023/8/16,1109,14,0,19,33
1109 信大,2023/8/15,1109,232,0,5,237
1109 信大,2023/8/14,1109,-106,0,0,-106
1109 信大,2023/8/11,1109,127,0,-6,121
1109 信大,2023/8/10,1109,-16,0,-1,-17
1109 信大,2023/8/9,1109,-21,0,-1,-22
1109 信大,2023/8/8,1109,-80,0,-26,-106
1109 信大,2023/8/7,1109,-1,0,-8,-9
1109 信大,2023/8/4,1109,43,0,-40,3
1109 信大,2023/8/2,1109,9,0,-14,-5
1109 信大,2023/8/1,1109,3,0,3,6
1109 信大,2023/7/31,1109,-4,0,1,-3
1109 信大,2023/7/28,1109,32,0,0,32
1109 信大,2023/7/27,1109,59,0,-1,58
1109 信大,2023/7/26,1109,-8,0,-1,-9
1109 信大,2023/7/25,1109,-52,0,0,-52
1109 信大,2023/7/24,1109,-118,0,-6,-124
1109 信大,2023/7/21,1109,-86,0,-1,-87
1109 信大,2023/7/20,1109,-33,0,0,-33
1109 信大,2023/7/19,1109,-18,0,-2,-20
1109 信大,2023/7/18,1109,6,0,-2,4
1109 信大,2023/7/17,1109,10,0,-1,9
1109 信大,2023/7/14,1109,-31,0,0,-31
1109 信大,2023/7/13,1109,9,0,1,10
1109 信大,2023/7/12,1109,-27,0,-9,-36
1109 信大,2023/7/11,1109,50,0,0,50
1109 信大,2023/7/10,1109,-35,0,-123,-158
1109 信大,2023/7/7,1109,-164,0,-5,-169
1109 信大,2023/7/6,1109,-21,0,-7,-28
1109 信大,2023/7/5,1109,4,0,-18,-14
1109 信大,2023/7/4,1109,-48,0,-1,-49
1109 信大,2023/7/3,1109,3,0,2,5
1109 信大,2023/6/30,1109,-3,0,21,18
1109 信大,2023/6/29,1109,-1,0,6,5
1109 信大,2023/6/28,1109,-11,0,1,-10
1109 信大,2023/6/27,1109,-10,0,0,-10
1109 信大,2023/6/26,1109,9,0,3,12
1109 信大,2023/6/21,1109,51,0,0,51
1109 信大,2023/6/20,1109,-18,0,-1,-19
1109 信大,2023/6/19,1109,-1,0,-2,-3
1109 信大,2023/6/16,1109,8,0,1,9
1109 信大,2023/6/15,1109,2,0,-1,1
1109 信大,2023/6/14,1109,-4,0,7,3
1109 信大,2023/6/13,1109,6,0,14,20
1109 信大,2023/6/12,1109,-22,0,0,-22
1109 信大,2023/6/9,1109,-35,0,0,-35
1109 信大,2023/6/8,1109,-9,0,0,-9
1109 信大,2023/6/7,1109,22,0,1,23
1109 信大,2023/6/6,1109,21,0,0,21
1109 信大,2023/6/5,1109,24,0,66,90
1109 信大,2023/6/2,1109,9,0,1,10
1109 信大,2023/6/1,1109,-25,0,-64,-89
1110 東泥,2023/9/19,1110,-3,0,-5,-8
1110 東泥,2023/9/18,1110,-3,0,-1,-4
1110 東泥,2023/9/15,1110,3,0,0,3
1110 東泥,2023/9/14,1110,5,0,0,5
1110 東泥,2023/9/13,1110,-6,0,0,-6
1110 東泥,2023/9/12,1110,-17,0,0,-17
1110 東泥,2023/9/11,1110,-30,0,1,-29
1110 東泥,2023/9/8,1110,-27,0,-7,-34
1110 東泥,2023/9/7,1110,-28,0,-10,-38
1110 東泥,2023/9/6,1110,-37,0,0,-37
1110 東泥,2023/9/5,1110,-2,0,0,-2
1110 東泥,2023/9/4,1110,8,0,3,11
1110 東泥,2023/9/1,1110,-11,0,-1,-12
1110 東泥,2023/8/31,1110,5,0,0,5
1110 東泥,2023/8/30,1110,-14,0,0,-14
1110 東泥,2023/8/29,1110,-41,0,-2,-43
1110 東泥,2023/8/28,1110,-4,0,10,6
1110 東泥,2023/8/25,1110,-29,0,-4,-33
1110 東泥,2023/8/24,1110,-29,0,-1,-30
1110 東泥,2023/8/23,1110,-24,0,0,-24
1110 東泥,2023/8/22,1110,-20,0,-9,-29
1110 東泥,2023/8/21,1110,-10,0,0,-10
1110 東泥,2023/8/18,1110,-71,0,-4,-75
1110 東泥,2023/8/17,1110,-46,0,-8,-54
1110 東泥,2023/8/16,1110,-15,0,-10,-25
1110 東泥,2023/8/15,1110,1,0,-16,-15
1110 東泥,2023/8/14,1110,-34,0,19,-15
1110 東泥,2023/8/11,1110,-21,0,-1,-22
1110 東泥,2023/8/10,1110,-69,0,0,-69
1110 東泥,2023/8/9,1110,-8,0,0,-8
1110 東泥,2023/8/8,1110,-22,0,-21,-43
1110 東泥,2023/8/7,1110,13,0,-10,3
1110 東泥,2023/8/4,1110,-83,0,0,-83
1110 東泥,2023/8/2,1110,-27,0,1,-26
1110 東泥,2023/8/1,1110,13,0,1,14
1110 東泥,2023/7/31,1110,0,0,10,10
1110 東泥,2023/7/28,1110,-4,0,0,-4
1110 東泥,2023/7/27,1110,46,0,8,54
1110 東泥,2023/7/26,1110,135,0,-2,133
1110 東泥,2023/7/25,1110,29,0,-10,19
1110 東泥,2023/7/24,1110,13,0,102,115
1110 東泥,2023/7/21,1110,-37,0,0,-37
1110 東泥,2023/7/20,1110,-38,0,0,-38
1110 東泥,2023/7/19,1110,-15,0,-6,-21
