m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/10/31,6020,2023/11/9,-12391 ,-5489 ,-125.74 ,-186.31 ,-1 ,457286 ,-175559 ,360.47 
2023/10/31,6021,2023/11/10,54110 ,48282 ,12.07 ,-11.48 ,-3 ,857345 ,790344 ,8.48 
2023/10/31,6023,2023/11/10,326821 ,383115 ,-14.69 ,22.00 ,1 ,2939910 ,3377378 ,-12.95 
2023/10/31,6024,2023/11/8,196606 ,259764 ,-24.31 ,15.27 ,1 ,1869230 ,2346169 ,-20.33 
2023/10/31,6026,2023/11/9,19745 ,-122331 ,116.14 ,-73.23 ,-1 ,980691 ,22546 ,4249.73 
2023/10/31,6101,2023/11/7,28088 ,30 ,93526.67 ,-62.90 ,-1 ,540075 ,54019 ,899.79 
2023/10/31,6103,2023/11/9,1335 ,6882 ,-80.60 ,-53.48 ,-3 ,39937 ,65002 ,-38.56 
2023/10/31,6104,2023/11/6,234762 ,183613 ,27.86 ,-3.49 ,-1 ,2050361 ,2856123 ,-28.21 
2023/10/31,6108,2023/11/10,492567 ,490996 ,0.32 ,-8.77 ,-2 ,5032837 ,5945987 ,-15.36 
2023/10/31,6109,2023/11/9,61747 ,119683 ,-48.41 ,-22.84 ,-1 ,878507 ,1101836 ,-20.27 
2023/10/31,6111,2023/11/10,288358 ,151317 ,90.57 ,41.08 ,2 ,2462972 ,1803389 ,36.57 
2023/10/31,6112,2023/11/2,1622462 ,1431361 ,13.35 ,24.27 ,2 ,16713435 ,14189357 ,17.79 
2023/10/31,6113,2023/11/8,102284 ,92301 ,10.82 ,-5.67 ,-1 ,1045809 ,1920143 ,-45.53 
2023/10/31,6114,2023/11/8,120542 ,107156 ,12.49 ,11.64 ,1 ,1181992 ,1411619 ,-16.27 
2023/10/31,6115,2023/11/7,511397 ,551543 ,-7.28 ,-15.32 ,-1 ,5362892 ,6140189 ,-12.66 
2023/10/31,6116,2023/11/9,1043028 ,1307408 ,-20.22 ,1.56 ,1 ,10398575 ,14581499 ,-28.69 
2023/10/31,6117,2023/11/10,245007 ,218982 ,11.88 ,21.50 ,1 ,1893079 ,2070559 ,-8.57 
2023/10/31,6118,2023/11/10,810451 ,741850 ,9.25 ,13.18 ,1 ,7036832 ,8042640 ,-12.51 
2023/10/31,6120,2023/11/8,1405690 ,810726 ,73.39 ,-10.97 ,-2 ,14440657 ,12349479 ,16.93 
2023/10/31,6121,2023/11/3,8303506 ,8411167 ,-1.28 ,2.23 ,4 ,69429834 ,79238258 ,-12.38 
2023/10/31,6122,2023/11/8,707568 ,227569 ,210.92 ,65.60 ,1 ,4371105 ,1831934 ,138.61 
2023/10/31,6123,2023/11/7,480622 ,525268 ,-8.50 ,-10.36 ,-1 ,4403325 ,4450973 ,-1.07 
2023/10/31,6124,2023/11/7,139392 ,125298 ,11.25 ,21.94 ,1 ,1571956 ,1802379 ,-12.78 
2023/10/31,6125,2023/11/8,362696 ,434932 ,-16.61 ,-16.77 ,-4 ,4946917 ,4441026 ,11.39 
2023/10/31,6126,2023/11/10,275178 ,313006 ,-12.09 ,-6.17 ,-2 ,2921640 ,3331937 ,-12.31 
2023/10/31,6127,2023/11/7,72043 ,62722 ,14.86 ,10.72 ,1 ,681507 ,663662 ,2.69 
2023/10/31,6128,2023/11/8,455298 ,454523 ,0.17 ,-6.07 ,-1 ,4437218 ,4818171 ,-7.91 
2023/10/31,6129,2023/11/7,130273 ,183236 ,-28.90 ,8.06 ,1 ,1364872 ,1593740 ,-14.36 
2023/10/31,6130,2023/11/10,13016 ,5519 ,135.84 ,-36.44 ,-2 ,190797 ,72009 ,164.96 
2023/10/31,6133,2023/11/8,74728 ,109730 ,-31.90 ,-15.59 ,-1 ,836921 ,1181570 ,-29.17 
2023/10/31,6134,2023/11/7,77613 ,135577 ,-42.75 ,-11.80 ,-2 ,943705 ,1183648 ,-20.27 
2023/10/31,6136,2023/11/10,43899 ,43197 ,1.63 ,-7.54 ,-1 ,426346 ,405879 ,5.04 
2023/10/31,6138,2023/11/6,519349 ,387057 ,34.18 ,0.20 ,4 ,4424052 ,5750164 ,-23.06 
2023/10/31,6139,2023/11/10,6769058 ,3369774 ,100.88 ,4.65 ,3 ,39587320 ,28090179 ,40.93 
2023/10/31,6140,2023/11/10,114310 ,148364 ,-22.95 ,-44.26 ,-1 ,1545686 ,1887193 ,-18.10 
2023/10/31,6141,2023/11/10,210885 ,208648 ,1.07 ,-19.65 ,-1 ,2142709 ,2789742 ,-23.19 
2023/10/31,6142,2023/11/10,102024 ,364003 ,-71.97 ,-21.14 ,-7 ,2392425 ,2665154 ,-10.23 
2023/10/31,6143,2023/11/10,704675 ,698751 ,0.85 ,21.30 ,1 ,5750754 ,4726728 ,21.66 
