company_id,market_type,industry,company_name,industry_name,capital
6674 ,TSE,27,鋐寶科技,通信網路業,676380700
6679 ,OTC,24,鈺太,半導體,549393350
6680 ,OTC,25,鑫創電子,電腦及週邊,210508670
6683 ,OTC,24,雍智科技,半導體,272176610
6684 ,OTC,24,安格,半導體,446644760
6689 ,TSE,36,伊雲谷,數位雲端,680000000
6690 ,OTC,36,安碁資訊,數位雲端,222045700
6691 ,TSE,31,洋基工程,其他電子業,882792820
6693 ,OTC,24,廣閎科,半導體,457200000
6695 ,TSE,24,芯鼎,半導體,952402500
6697 ,OTC,30,東捷資訊,資訊服務業,273233640
6698 ,TSE,31,旭暉應材,其他電子業,663897530
6703 ,OTC,22,軒郁,生技醫療,279021640
6706 ,TSE,26,惠特,光電業,735368650
6708 ,OTC,24,天擎,半導體,290087790
6712 ,OTC,22,長聖,生技醫療,751987300
6715 ,TSE,28,嘉基,電子零組件,626423110
6716 ,OTC,24,應廣,半導體,304393140
6719 ,TSE,24,力智,半導體,811327000
6721 ,OTC,20,信實,其他,225000000
6727 ,OTC,28,亞泰金屬,電子零組件,240729720
6728 ,OTC,38,上洋,居家生活,230000000
6732 ,OTC,24,昇佳電子,半導體,489126180
6733 ,OTC,22,博晟生醫,生技醫療,1230760260
6735 ,OTC,31,美達科技,其他電子業,418887000
6741 ,OTC,36,91APP*-KY,數位雲端,602889985
6743 ,TSE,31,安普新,其他電子業,1500000000
6747 ,OTC,22,亨泰光,生技醫療,241890000
6751 ,OTC,30,智聯服務,資訊服務業,222000000
6752 ,OTC,30,叡揚,資訊服務業,327751300
6753 ,TSE,15,龍德造船,航運業,1077500000
6754 ,TSE,38,匯僑設計,居家生活,660000000
6756 ,TSE,24,威鋒電子,半導體,690740000
6761 ,OTC,28,穩得,電子零組件,251049420
6762 ,OTC,22,達亞,生技醫療,258892420
6763 ,OTC,36,綠界科技,數位雲端,184039130
6767 ,OTC,22,台微醫,生技醫療,291090000
6768 ,TSE,37,志強-KY,運動休閒,1960456170
6770 ,TSE,24,力積電,半導體,40715973450
6776 ,TSE,29,展碁國際,電子通路業,815814300
6781 ,TSE,28,AES-KY,電子零組件,854187800
6782 ,TSE,22,視陽,生技醫療,630000000
6788 ,OTC,24,華景電,半導體,347396830
6789 ,TSE,24,采鈺,半導體,3164841190
6790 ,TSE,9,永豐實,造紙工業,2671290210
6791 ,OTC,30,虎門科技,資訊服務業,208470000
6792 ,TSE,27,詠業,通信網路業,478753250
6796 ,TSE,22,晉弘,生技醫療,345841550
6799 ,TSE,24,來頡,半導體,418571330
6803 ,OTC,35,崑鼎,綠能環保,715016220
6804 ,OTC,37,明係,運動休閒,350000000
6806 ,TSE,35,森崴能源,綠能環保,2161500000
6807 ,TSE,38,峰源-KY,居家生活,540000000
6811 ,OTC,36,宏碁資訊,數位雲端,414490000
6821 ,OTC,28,聯寶,電子零組件,310358200
6823 ,OTC,24,濾能,半導體,222384750
6829 ,OTC,5,千附精密,電機機械,591690000
6830 ,TSE,31,汎銓,其他電子業,467811750
6834 ,TSE,28,天二科技,電子零組件,884710820
6835 ,TSE,28,圓裕,電子零組件,661722970
6840 ,OTC,31,東研信超,其他電子業,252780000
6841 ,OTC,22,長佳智能,生技醫療,985195000
6843 ,OTC,5,進典,電機機械,333040000
6846 ,OTC,2,綠茵,食品工業,267235000
6855 ,OTC,31,數泓科,其他電子業,211361050
6859 ,OTC,26,伯特光,光電業,388828000
6861 ,TSE,22,睿生光電,生技醫療,402285000
6863 ,TSE,27,永道-KY,通信網路業,743180000
6865 ,OTC,30,偉康科技,資訊服務業,145100000
6870 ,OTC,36,騰雲,數位雲端,218000000
6874 ,OTC,30,倍力,資訊服務業,220000000
6877 ,OTC,31,鏵友益,其他電子業,340880000
6895 ,OTC,24,宏碩系統,半導體,341000000
6901 ,TSE,20,鑽石投資,其他,8493200000
6933 ,TSE,13,AMAX-KY,電子工業,361757580
7402 ,OTC,26,邑錡,光電業,348419650
7556 ,OTC,24,意德士科技,半導體,240541170
8011 ,TSE,27,台通,通信網路業,1709218910
8016 ,TSE,24,矽創,半導體,1201368760
8021 ,TSE,31,尖點,其他電子業,1421804670
8024 ,OTC,24,佑華,半導體,451601000
8027 ,OTC,5,鈦昇,電機機械,986103930
8028 ,TSE,24,昇陽半導體,半導體,1726280330
8032 ,OTC,29,光菱,電子通路業,518103000
8033 ,TSE,20,雷虎,其他,1426297750
8034 ,OTC,27,榮群,通信網路業,628737250
8038 ,OTC,28,長園科,電子零組件,628741900
8039 ,TSE,28,台虹,電子零組件,2091196920
8040 ,OTC,24,九暘,半導體,688500740
8042 ,OTC,28,金山電,電子零組件,1294625490
8043 ,OTC,28,蜜望實,電子零組件,799071700
8044 ,OTC,36,網家,數位雲端,1441629450
8046 ,TSE,28,南電,電子零組件,6461654870
8047 ,OTC,31,星雲,其他電子業,416663430
8048 ,OTC,27,德勝,通信網路業,561030020
8049 ,OTC,26,晶采,光電業,1182798080
8050 ,OTC,25,廣積,電腦及週邊,2057166900
8054 ,OTC,24,安國,半導體,985001660
8059 ,OTC,27,凱碩,通信網路業,1908760000
8064 ,OTC,26,東捷,光電業,1648178360
8066 ,OTC,38,來思達,居家生活,296423040
8067 ,OTC,29,志旭,電子通路業,207000000
8068 ,OTC,29,全達,電子通路業,807659490
8069 ,OTC,26,元太,光電業,11411809950
8070 ,TSE,29,長華*,電子通路業,689422332
8071 ,OTC,28,能率網通,電子零組件,518542830
8072 ,TSE,29,陞泰,電子通路業,800000000
8074 ,OTC,28,鉅橡,電子零組件,809744660
8076 ,OTC,25,伍豐,電腦及週邊,3046025920
8077 ,OTC,16,洛碁,觀光餐旅,219456690
8080 ,OTC,14,印鉐,建材營造,231638210
8081 ,TSE,24,致新,半導體,861720720
8083 ,OTC,5,瑞穎,電機機械,351331930
8084 ,OTC,29,巨虹,電子通路業,695141490
8085 ,OTC,31,福華,其他電子業,1399830600
8086 ,OTC,24,宏捷科,半導體,1965161230
8087 ,OTC,35,華鎂鑫,綠能環保,296889650
8088 ,OTC,24,品安,半導體,609217490
8089 ,OTC,27,康全電訊,通信網路業,586655270
8091 ,OTC,28,翔名,電子零組件,479601140
8092 ,OTC,31,建暐,其他電子業,518206160
8093 ,OTC,28,保銳,電子零組件,449459450
8096 ,OTC,29,擎亞,電子通路業,1493430660
8097 ,OTC,27,常珵,通信網路業,680644680
8099 ,OTC,30,大世科,資訊服務業,885600000
8101 ,TSE,27,華冠,通信網路業,728310780
