公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
3207 耀勝,3207,3207,2023-03-31,28,電子零組件,M23D,TEJT11  電子- 電源供應器,71.6,1.0,0.9,4.96,2.9,39.18,170.23,170.23,919.62,279.95,219.39,219.39,197.04,64.65,93.15,122.03,2.12,2023-03-31,2023,-1.57,-2.04
3213 茂訊,3213,3213,2023-03-31,25,PC系統,M23A,TEJT01  電子- PC,49.62,1.0,0.78,-2.56,-1.87,16.09,69.7,69.7,476.56,217.86,216.78,216.78,218.34,5.71,4.97,,1.01,2023-03-31,2023,16.2,26.09
3218 大學光,3218,3218,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,395.5,1.0,3.33,10.06,5.86,23.08,23.23,23.23,25.33,23.94,24.16,24.16,24.05,19.61,20.23,39.36,1.52,2023-03-31,2023,-14.61,-4.16
3229 晟鈦,3229,3229,2023-03-31,28,主機板,M23B,TEJT03  電子- PCB,20.0,1.0,0.01,0.02,0.01,169.3,222.44,222.44,111.57,110.95,101.55,101.55,96.38,22.38,-3.64,0.62,1.4,2023-03-31,2023,0.55,3.83
3264 欣銓,3264,3264,2023-03-31,24,半導體,M23G,TEJT16  電子- 晶圓製造,54.43,1.0,1.3,3.66,1.96,7.73,4.98,4.98,5.26,-4.18,-4.56,-4.56,-6.67,16.56,16.3,21.54,0.3,2023-03-31,2023,10.0,17.12
3284 太普高,3284,3284,2023-03-31,20,印刷,M99C,TEJO99  其它業別,14.95,1.0,0.07,0.68,0.42,8.15,280.87,280.87,167.56,164.48,157.17,157.17,145.07,22.52,32.87,17.48,1.05,2023-03-31,2023,0.27,1.65
3285 微端,3285,3285,2023-03-31,31,消費性電子,M23U,TEJT21  電子- 消費性電子,20.05,1.0,-0.17,-0.97,-0.62,34.86,31.24,31.24,54.8,-138.57,3.37,3.37,-18.83,-6.11,-2.22,3.57,-0.01,2023-03-31,2023,0.75,3.49
3289 宜特,3289,3289,2023-03-31,31,其他電子,M23Z,TEJO99  其它業別,87.42,1.0,1.31,2.32,1.07,12.18,16.07,16.07,23.14,7.1,-4.21,-4.21,-1.43,0.23,3.0,3.39,0.02,2023-03-31,2023,-1.5,-1.46
3290 東浦,3290,3290,2023-03-31,28,電子零組件,M23D,TEJT14  電子- 電子零組件其他,29.66,1.0,0.09,1.13,0.57,28.31,378.51,378.51,151.93,125.56,124.24,124.24,123.08,3.31,8.96,-12.29,1.5,2023-03-31,2023,1.1,4.4
3293 鈊象,3293,3293,2023-03-31,32,軟體服務,M23X,TEJT22  電子- 軟體,541.29,1.0,10.24,13.35,10.16,13.88,14.81,14.81,21.84,11.96,9.33,9.33,9.23,16.56,20.92,,0.85,2023-03-31,2023,53.0,9.35
