公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
5483 中美晶,5483,5483,2023-03-31,24,半導體,M23G,TEJT16  電子- 晶圓製造,150.99,1.0,4.21,5.21,1.83,11.37,1.75,1.75,-6.56,840.03,119.41,119.41,-46.5,21.2,33.17,35.76,1.5,2023-03-31,2023,,
5484 慧友,5484,5484,2023-03-31,26,光電/ IO,M23C,TEJT09  電子- 其他光電,15.55,1.0,0.18,2.08,1.51,56.43,82.83,82.83,62.36,130.99,130.96,130.96,57.01,-3.9,-1.66,-4.15,5.75,2023-03-31,2023,,
5488 松普,5488,5488,2023-03-31,28,電子零組件,M23D,TEJT10  電子- 連接器,10.85,1.0,-0.01,0.47,0.27,38.99,9.62,9.62,152.07,254.11,40.63,40.63,40.63,7.99,0.05,19.21,0.15,2023-03-31,2023,,
5511 德昌,5511,5511,2023-03-31,14,營造,M25B,TEJN17  傳產- 營建,32.27,1.0,3.35,7.25,3.12,17.87,119.4,119.4,157.27,194.49,185.34,185.34,153.56,-2.38,11.97,36.81,1.91,2023-03-31,2023,,
5514 三豐,5514,5514,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,17.9,1.0,-0.07,0.95,0.55,14.23,18.29,18.29,-32.45,-29.11,-45.18,-45.18,-45.18,7.09,-4.6,,-0.1,2023-03-31,2023,,
5516 雙喜,5516,5516,2023-03-31,14,營造,M25B,TEJN17  傳產- 營建,24.2,1.0,0.71,3.79,1.01,43.68,68.19,68.19,84.32,87.97,83.7,83.7,87.58,13.2,16.96,14.26,0.58,2023-03-31,2023,,
5519 隆大,5519,5519,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,21.99,1.0,0.27,1.24,0.5,5.14,36.14,36.14,28.81,27.42,14.33,14.33,14.24,7.43,10.86,71.99,0.06,2023-03-31,2023,,
5521 工信,5521,5521,2023-03-31,14,營造,M25B,TEJN17  傳產- 營建,7.59,1.0,-0.17,-1.36,-0.99,14.5,0.53,0.53,-449.32,-532.98,-502.75,-502.75,-502.23,-6.6,-1.23,-4.27,-0.93,2023-03-31,2023,,
5523 豐謙,5523,5523,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,24.1,1.0,1.13,6.27,2.91,2014.66,1495.13,1495.13,867666.67,-65.87,-61.31,-61.31,14175.69,12.26,-10.35,28.08,-4.46,2023-03-31,2023,,
5529 鉅陞,5529,5529,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,11.75,1.0,-0.16,-2.25,-0.61,45.05,62.6,62.6,-8.79,2.97,2.97,2.97,2.97,20.56,-9.28,-0.09,-0.02,2023-03-31,2023,,
5531 鄉林,5531,5531,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,9.1,1.0,0.34,2.41,0.67,640.57,7967.92,7967.92,215.12,202.47,184.24,184.24,147.69,6.72,-6.96,-5.79,1.57,2023-03-31,2023,,
5536 聖暉*,5536,5536,2023-03-31,31,電子設備,M23H,TEJT18  電子- 電子設備,130.57,1.0,3.75,6.08,2.48,4.14,19.04,19.04,10.24,12.78,19.0,19.0,10.73,28.02,55.23,10.78,0.37,2023-03-31,2023,,
5601 台聯櫃,5601,5601,2023-03-31,15,貨運倉儲業,M26C,TEJN19  傳產- 陸運,41.98,1.0,0.1,0.48,0.35,1.66,3.3,3.3,3.32,4.03,4.03,4.03,4.03,1.15,1.29,0.27,0.03,2023-03-31,2023,,
5701 劍湖山,5701,5701,2023-03-31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,9.64,1.0,-0.09,1.76,0.38,14.6,23.71,23.71,76.54,46.39,46.41,46.41,42.1,1.3,20.32,-6.87,0.32,2023-03-31,2023,,
5703 亞都,5703,5703,2023-03-31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,21.35,1.0,0.14,2.16,1.03,57.92,1064.57,1064.57,154.03,157.48,143.29,143.29,143.43,-2.65,-7.56,-22.28,3.36,2023-03-31,2023,,
5704 老爺知,5704,5704,2023-03-31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,58.59,1.0,0.87,6.47,4.68,3.47,3.86,3.86,-8.29,-10.74,-11.35,-11.35,-8.02,7.51,1.06,-10.45,-0.64,2023-03-31,2023,,
5706 鳳凰,5706,5706,2023-03-31,16,旅行社,M27C,TEJN20  傳產- 觀光餐飲,64.08,1.0,-0.12,5.43,2.47,1453.35,623.49,623.49,338.13,-233.5,-308.91,-308.91,124.56,3.72,-10.86,57.54,-0.51,2023-03-31,2023,,
5871 中租-KY,5871,5871,2023-03-31,20,租賃業,M28K,TEJF01  金融- 金融中介,212.37,1.0,4.35,4.7,0.82,16.13,8.4,8.4,-9.48,-4.16,-3.95,-3.95,-4.2,16.14,23.99,19.48,-0.02,2023-03-31,2023,,
5903 全家,5903,5903,2023-03-31,38,百貨批發,M29A,TEJN21  傳產- 百貨貿易,211.92,1.0,0.88,2.66,0.27,10.16,11.1,11.1,32.89,12.14,10.92,10.92,10.54,4.25,8.14,22.14,0.16,2023-03-31,2023,,
5904 寶雅,5904,5904,2023-03-31,38,百貨批發,M29A,,541.22,1.0,6.43,12.7,2.66,12.31,16.71,16.71,28.42,30.19,30.23,30.23,30.2,-0.11,-21.91,-3.54,0.71,2023-03-31,2023,,
5905 南仁湖,5905,5905,2023-03-31,16,觀光遊樂區,M27B,TEJN20  傳產- 觀光餐飲,11.95,1.0,-0.08,-0.52,-0.19,0.2,7.17,7.17,52.04,66.07,68.57,68.57,64.64,38.35,38.89,-6.16,0.27,2023-03-31,2023,,
5906 台南-KY,5906,5906,2023-03-31,18,百貨批發,M29A,,35.5,1.0,1.6,12.24,5.11,25.87,17.61,17.61,22.29,32.0,34.91,34.91,29.86,46.3,25.18,3.67,1.06,2023-03-31,2023,,
6101 寬魚國際,6101,6101,2023-03-31,32,電視廣播,M99H,TEJO99  其它業別,45.9,1.0,0.22,2.37,2.25,512.82,3448.67,3448.67,266.5,371.04,373.65,373.65,331.68,-0.01,1.84,137.26,3.05,2023-03-31,2023,,
6112 邁達特,6112,6112,2023-03-31,30,軟體服務,M23X,TEJT22  電子- 軟體,39.06,1.0,1.17,4.68,2.2,20.67,33.28,33.28,84.48,144.76,154.31,154.31,90.14,11.35,0.9,-5.92,1.48,2023-03-31,2023,,
6122 擎邦,6122,6122,2023-03-31,5,營造,M25B,TEJN17  傳產- 營建,29.85,1.0,0.8,4.69,1.68,100.45,141.53,141.53,222.62,152.26,136.18,136.18,129.45,35.94,11.85,,0.91,2023-03-31,2023,,
6125 廣運,6125,6125,2023-03-31,26,電子設備,M23H,TEJT18  電子- 電子設備,28.47,1.0,0.29,1.55,0.76,12.75,19.01,19.01,240.81,-18.57,30.49,30.49,115.48,-0.02,7.7,7.99,0.32,2023-03-31,2023,,
6129 普誠,6129,6129,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,33.99,1.0,0.26,1.79,1.48,12.81,2.68,2.68,-6.65,1.94,18.18,18.18,-13.19,5.15,11.09,3.37,0.29,2023-03-31,2023,,
6130 星寶國際,6130,6130,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,35.45,1.0,-0.21,-0.79,-0.64,209.65,54.46,54.46,4.92,43.71,38.5,38.5,-636.93,101.63,89.29,150.7,0.85,2023-03-31,2023,,
6136 富爾特,6136,6136,2023-03-31,27,資訊通路,M23T,,17.87,1.0,0.01,2.28,2.15,3.35,43.29,43.29,62.05,138.87,124.07,124.07,124.07,-6.58,-6.7,-2.3,0.21,2023-03-31,2023,,
6139 亞翔,6139,6139,2023-03-31,31,電機製品,M15B,TEJN07  傳產- 電機及家電,48.45,1.0,1.42,3.13,0.81,9.39,24.69,24.69,0.05,34.39,48.62,48.62,5.8,70.01,11.17,9.62,0.29,2023-03-31,2023,,
6142 友勁,6142,6142,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,12.7,1.0,0.03,1.02,0.6,72.05,689.86,689.86,121.27,117.32,116.72,116.72,117.86,1.38,5.44,-9.04,1.32,2023-03-31,2023,,
6143 振曜,6143,6143,2023-03-31,27,光電/ IO,M23C,TEJT05  電子- PC週邊,97.97,1.0,0.31,3.42,1.61,29.4,37.0,37.0,110.83,-1.09,-11.03,-11.03,-9.57,50.08,30.93,,0.0,2023-03-31,2023,,
6146 耕興,6146,6146,2023-03-31,31,其他電子,M23Z,TEJO99  其它業別,246.31,1.0,4.13,8.13,6.08,4.45,5.55,5.55,15.56,11.58,12.77,12.77,12.77,15.03,14.35,2.96,0.71,2023-03-31,2023,,
6148 驊宏資,6148,6148,2023-03-31,30,軟體服務,M23X,TEJT22  電子- 軟體,19.44,1.0,0.12,1.0,0.53,59.39,11.92,11.92,34.44,0.71,-3.53,-3.53,-2.27,-2.12,2.95,57.02,0.01,2023-03-31,2023,,
6160 欣技,6160,6160,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,27.56,1.0,0.5,4.1,2.46,71.99,54.57,54.57,3701.93,827.17,839.8,839.8,839.69,7.94,5.68,-12.17,2.09,2023-03-31,2023,,
6163 華電網,6163,6163,2023-03-31,27,通訊設備,M23K,TEJT19  電子- 電信業,21.4,1.0,-0.16,3.12,1.32,29.84,42.83,42.83,74.9,70.61,70.61,70.61,67.18,7.52,15.97,9.78,1.01,2023-03-31,2023,,
6166 凌華,6166,6166,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,60.66,1.0,0.38,1.25,0.49,11.55,26.16,25.75,9503.81,73.23,45.12,45.12,39.43,6.12,14.66,,0.23,2023-03-31,2023,,
6169 昱泉,6169,6169,2023-03-31,32,軟體服務,M23X,TEJT22  電子- 軟體,19.15,1.0,-0.27,-1.91,-1.44,967.93,246.36,246.36,-20.72,-62.44,-89.25,-89.25,-89.25,10.05,0.85,,-0.53,2023-03-31,2023,,
6179 亞通,6179,6179,2023-03-31,20,工程承攬,M25C,TEJN17  傳產- 營建,28.87,1.0,0.09,3.12,0.95,81.16,428.25,407.09,728.34,226.91,289.03,289.03,280.19,23.7,-9.67,,0.57,2023-03-31,2023,,
6185 幃翔,6185,6185,2023-03-31,28,電子零組件,M23D,TEJT10  電子- 連接器,15.16,1.0,0.27,2.0,1.66,25.57,96.33,96.33,308.45,571.23,542.61,542.61,1043.64,2.35,2.8,-15.73,1.99,2023-03-31,2023,,
6186 新潤,6186,6186,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,40.7,1.0,0.23,1.14,0.19,20613.41,48870.11,48870.11,231.71,234.68,207.74,207.74,207.74,13.99,5.67,-37.79,0.39,2023-03-31,2023,,
6194 育富,6194,6194,2023-03-31,28,主機板,M23B,TEJT03  電子- PCB,26.69,1.0,0.53,1.5,1.24,11.92,738.85,738.85,201.0,227.39,222.72,222.72,221.39,-2.75,-3.01,-21.8,2.17,2023-03-31,2023,,
6196 帆宣,6196,6196,2023-03-31,31,電子設備,M23H,TEJT18  電子- 電子設備,128.16,1.0,2.33,4.49,1.21,43.63,16.5,16.5,10.86,20.08,23.56,23.56,-17.82,17.98,18.25,2.76,0.41,2023-03-31,2023,,
6197 佳必琪,6197,6197,2023-03-31,28,電子零組件,M23D,TEJT10  電子- 連接器,45.21,1.0,0.84,5.06,3.35,15.93,7.35,7.35,47.3,206.93,143.95,143.95,49.25,1.43,3.24,-4.78,1.29,2023-03-31,2023,,
6199 天品,6199,6199,2023-03-31,20,靈骨塔業,M25E,,18.6,1.0,0.05,-0.62,-0.51,69.87,5.31,5.31,-36.73,-93.56,-96.52,-96.52,-5.96,-2.21,-8.38,290.39,-3.31,2023-03-31,2023,,
6203 海韻電,6203,6203,2023-03-31,28,電子零組件,M23D,TEJT11  電子- 電源供應器,60.32,1.0,1.66,4.9,3.33,13.75,42.58,42.58,75.19,-2.57,-6.21,-6.21,-10.22,-7.7,1.47,-14.96,-0.25,2023-03-31,2023,,
6205 詮欣,6205,6205,2023-03-31,28,電子零組件,M23D,TEJT10  電子- 連接器,77.19,1.0,1.16,5.23,3.79,7.26,37.57,37.57,55.85,27.39,28.36,28.36,22.92,5.67,-2.93,27.43,0.76,2023-03-31,2023,,
6208 日揚,6208,6208,2023-03-31,28,電子設備,M23H,TEJT18  電子- 電子設備,53.9,1.0,0.74,3.14,1.5,17.45,3.36,3.36,1.17,-19.39,-23.54,-23.54,-23.63,9.16,9.4,42.27,-0.31,2023-03-31,2023,,
6214 精誠,6214,6214,2023-03-31,30,軟體服務,M23X,TEJT22  電子- 軟體,75.4,1.0,1.84,3.04,1.56,6.66,10.4,10.4,9.01,51.91,53.49,53.49,-1.66,5.92,6.25,2.11,0.63,2023-03-31,2023,,
6218 豪勉,6218,6218,2023-03-31,27,軟體服務,M23X,TEJT22  電子- 軟體,18.55,1.0,0.73,4.99,2.51,39.95,35.86,35.86,118.62,218.21,283.27,283.27,81.96,15.27,0.28,,1.77,2023-03-31,2023,,
6221 晉泰,6221,6221,2023-03-31,30,軟體服務,M23X,TEJT22  電子- 軟體,61.5,1.0,0.77,4.24,1.61,17.63,7.58,7.58,2.09,-9.21,-10.28,-10.28,-10.28,7.33,16.08,-3.57,-0.12,2023-03-31,2023,,
6223 旺矽,6223,6223,2023-03-31,24,主機板,M23B,TEJT03  電子- PCB,129.6,1.0,2.98,4.41,2.84,3.68,7.43,7.43,11.38,-9.12,-8.66,-8.66,-8.44,9.2,12.99,-2.24,-0.24,2023-03-31,2023,,
6230 尼得科超眾,6230,6230,2023-03-31,25,電子零組件,M23D,TEJT14  電子- 電子零組件其他,149.5,1.0,1.14,2.1,0.99,24.55,43.59,43.59,298.61,575.56,460.1,460.1,1125.28,4.79,14.4,7.86,1.17,2023-03-31,2023,,
6235 華孚,6235,6235,2023-03-31,25,電子零組件,M23D,TEJT12  電子- 機殼,77.3,1.0,1.04,6.02,3.23,44.35,88.38,88.38,290.95,143.41,121.59,121.59,123.53,24.6,32.06,,2.05,2023-03-31,2023,,
6240 松崗,6240,6240,2023-03-31,20,平媒電子報,M99F,TEJO99  其它業別,23.4,1.0,0.06,2.45,0.92,194.34,23.83,23.83,-277.23,153.94,154.87,154.87,-214.12,4.18,15.24,26120.0,0.37,2023-03-31,2023,,
6242 立康,6242,6242,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,52.39,1.0,1.21,4.33,3.59,53.79,47.31,47.31,89.97,97.5,101.89,101.89,82.87,13.02,17.26,-8.32,2.03,2023-03-31,2023,,
6244 茂迪,6244,6244,2023-03-31,26,光電/ IO,M23C,TEJT07  電子- 太陽能,36.15,1.0,0.4,3.67,1.71,23.21,199.02,199.02,434.92,272.34,275.8,275.8,275.8,5.63,28.94,1.82,1.26,2023-03-31,2023,,
6245 立端,6245,6245,2023-03-31,27,主機板,M23B,TEJT02  電子- 主機板,121.5,1.0,2.16,5.72,2.84,22.4,52.89,52.89,187.35,131.36,129.27,129.27,118.7,19.33,21.95,5.33,1.63,2023-03-31,2023,,
6248 沛波,6248,6248,2023-03-31,10,金屬基本,M20A,TEJN14  傳產- 鋼鐵,24.95,1.0,0.83,4.51,2.16,39.83,95.25,95.25,122.73,132.52,130.13,130.13,129.27,22.4,49.7,15.49,1.34,2023-03-31,2023,,
6263 普萊德,6263,6263,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,106.46,1.0,1.81,7.03,5.5,20.51,34.65,34.65,44.63,46.92,44.18,44.18,44.13,12.05,12.17,17.41,1.73,2023-03-31,2023,,
6264 富裔,6264,6264,2023-03-31,14,建設,M25A,TEJN17  傳產- 營建,8.17,1.0,-0.17,-2.66,-0.57,47.98,484.11,484.11,71.97,57.17,49.79,49.79,49.55,-2.21,-25.48,-3.23,0.48,2023-03-31,2023,,
6266 泰詠,6266,6266,2023-03-31,28,主機板,M23B,TEJT03  電子- PCB,31.15,1.0,0.75,4.49,2.88,50.07,49.59,49.59,66.95,56.75,51.36,51.36,39.75,15.35,28.26,8.2,1.01,2023-03-31,2023,,
6277 宏正,6277,6277,2023-03-31,25,光電/ IO,M23C,TEJT05  電子- PC週邊,79.79,1.0,1.59,3.91,2.55,12.37,15.72,15.72,49.35,41.2,40.07,40.07,29.23,0.2,2.54,-3.17,0.77,2023-03-31,2023,,
6279 胡連,6279,6279,2023-03-31,28,汽車組件,M15D,TEJN16  傳產- 汽車,142.5,1.0,2.23,4.24,2.23,21.05,20.34,20.34,28.8,8.25,7.93,7.93,0.43,20.21,9.3,20.17,0.47,2023-03-31,2023,,
6285 啟碁,6285,6285,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,99.35,1.0,1.43,4.5,1.48,29.87,37.5,37.5,246.2,100.36,90.54,90.54,92.21,29.15,23.59,24.68,0.61,2023-03-31,2023,,
6288 聯嘉,6288,6288,2023-03-31,12,光電/ IO,M23C,TEJT06  電子- LED,31.47,1.0,0.02,0.17,0.07,14.98,15.77,15.77,99.41,-131.73,-61.79,-61.79,237.18,-0.77,10.01,5.39,-0.04,2023-03-31,2023,,
6291 沛亨,6291,6291,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,137.83,1.0,2.01,7.69,5.35,17.93,45.37,45.37,133.6,72.7,62.77,62.77,63.09,14.04,43.13,,2.15,2023-03-31,2023,,
6409 旭隼,6409,6409,2023-03-31,31,電子零組件,M23D,TEJT11  電子- 電源供應器,1689.86,1.0,8.55,8.85,4.8,9.85,40.77,40.77,44.19,50.1,49.07,49.07,49.41,2.87,43.65,9.42,1.62,2023-03-31,2023,,
6414 樺漢,6414,6414,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,253.52,1.0,4.64,2.73,0.98,31.46,24.85,24.85,107.66,60.42,53.4,64.37,26.08,14.8,25.27,-3.35,0.36,2023-03-31,2023,,
6417 韋僑,6417,6417,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,148.8,1.0,0.95,2.77,1.71,25.35,58.63,58.63,124.47,75.18,74.99,74.99,74.99,32.79,10.94,72.39,0.72,2023-03-31,2023,,
6438 迅得,6438,6438,2023-03-31,31,電子設備,M23H,TEJT18  電子- 電子設備,98.73,1.0,2.64,5.5,2.47,26.54,8.73,8.73,20.58,12.4,22.94,22.94,22.68,23.07,8.86,7.66,0.57,2023-03-31,2023,,
6441 廣錠,6441,6441,2023-03-31,25,電子零組件,M23D,TEJT14  電子- 電子零組件其他,61.54,1.0,-0.46,-1.95,-1.1,29.93,71.46,71.46,-7.99,-545.99,-273.3,-273.3,-840.26,-15.72,-1.54,70.24,-0.66,2023-03-31,2023,,
6443 元晶,6443,6443,2023-03-31,26,光電/ IO,M23C,TEJT07  電子- 太陽能,37.73,1.0,0.37,2.82,1.56,8.64,44.95,47.33,72.61,549.28,509.83,509.83,556.44,12.32,22.2,12.32,1.65,2023-03-31,2023,,
6446 藥華藥,6446,6446,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,428.0,1.0,-2.44,-5.95,-4.53,252.6,475.86,475.86,-30.26,-40.52,-36.0,-36.0,-36.0,199.02,202.3,177.61,-1.26,2023-03-31,2023,,
6451 訊芯-KY,6451,6451,2023-03-31,24,半導體,M23G,TEJT16  電子- 晶圓製造,81.01,1.0,0.52,2.37,1.06,62.16,912.86,912.86,109.0,133.25,173.59,173.59,192.69,-1.58,4.5,58.15,1.17,2023-03-31,2023,,
6465 威潤,6465,6465,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,18.2,1.0,-0.23,-3.05,-1.36,36.16,124.45,124.45,64.7,60.43,63.77,63.77,58.29,-9.05,-24.39,-0.66,2.55,2023-03-31,2023,,
6469 大樹,6469,6469,2023-03-31,22,醫藥通路,M17X,,292.05,1.0,1.74,6.28,1.56,19.42,24.57,24.57,34.51,32.71,32.92,32.92,31.85,30.94,24.67,8.07,0.62,2023-03-31,2023,,
6470 宇智,6470,6470,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,63.38,1.0,0.89,3.37,1.85,27.69,22.99,22.99,51.98,-24.15,-22.46,-22.46,-22.46,22.38,42.0,-17.52,-0.6,2023-03-31,2023,,
6472 保瑞,6472,6472,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,564.32,1.0,13.62,18.08,4.45,327.88,394.47,394.47,515.11,470.08,482.25,482.25,524.23,202.04,95.08,76.82,4.2,2023-03-31,2023,,
6482 弘煜科,6482,6482,2023-03-31,32,軟體服務,M23X,TEJT22  電子- 軟體,45.5,1.0,0.58,3.38,2.45,11.46,12.25,12.25,14.61,-11.18,-15.62,-15.62,-15.62,17.29,20.8,,-0.48,2023-03-31,2023,,
6488 環球晶,6488,6488,2023-03-31,24,半導體,M23G,TEJT16  電子- 晶圓製造,508.92,1.0,11.49,6.84,2.23,14.16,8.69,8.69,3.59,2167.28,186.41,186.41,-40.46,17.47,23.02,23.81,2.01,2023-03-31,2023,,
6504 南六,6504,6504,2023-03-31,20,不織布,M14F,TEJN05  傳產- 紡織,79.3,1.0,0.14,0.69,0.23,10.65,25.9,25.9,296.84,78.1,-11.88,-11.88,-67.1,-0.81,-2.19,-7.17,0.09,2023-03-31,2023,,
6515 穎崴,6515,6515,2023-03-31,24,主機板,M23B,TEJT04  電子- PCB原材料,700.21,1.0,4.18,4.26,2.63,25.9,27.29,27.29,40.12,24.46,20.36,20.36,24.09,29.77,15.07,81.45,0.43,2023-03-31,2023,,
6516 勤崴國際,6516,6516,2023-03-31,30,通訊設備,M23K,TEJT15  電子- 網通,75.29,1.0,0.38,0.98,0.83,17.58,9.45,9.45,41.75,23.19,20.26,20.26,20.26,9.23,3.89,59.3,0.32,2023-03-31,2023,,
6517 保勝光學,6517,6517,2023-03-31,26,消費性電子,M23U,TEJT21  電子- 消費性電子,131.24,1.0,1.3,7.4,5.79,36.6,82.86,82.86,110.57,82.85,67.37,67.37,67.69,55.5,66.94,-11.5,2.32,2023-03-31,2023,,
6523 達爾膚,6523,6523,2023-03-31,22,其他化學,M17Z,TEJN11  傳產- 其他化學,106.31,1.0,2.27,4.77,3.99,6.86,11.69,11.69,8.76,-7.64,-7.78,-7.78,-8.0,-0.51,-2.46,,-0.51,2023-03-31,2023,,
6527 明達醫,6527,6527,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,69.09,1.0,1.14,3.42,2.64,51.0,43.96,43.96,93.74,15.53,22.46,22.46,22.46,8.66,8.33,-21.97,0.48,2023-03-31,2023,,
6533 晶心科,6533,6533,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,517.4,1.0,-1.08,-1.1,-1.01,6.67,6.76,6.76,-1485.48,-142.74,-143.81,-143.81,-143.81,2.54,2.19,126.94,-3.12,2023-03-31,2023,,
6535 順藥,6535,6535,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,41.15,1.0,0.89,8.26,7.39,185.06,39.86,39.86,-21.91,178.01,178.01,178.01,-31.52,-6.15,-6.22,86.64,17.41,2023-03-31,2023,,
6538 倉和,6538,6538,2023-03-31,28,光電/ IO,M23C,TEJT07  電子- 太陽能,83.28,1.0,1.0,2.53,1.69,19.52,14.94,14.94,21.35,-27.05,-23.02,-23.02,-17.04,-4.33,1.0,-3.59,-0.4,2023-03-31,2023,,
6541 泰福-KY,6541,6541,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,80.6,1.0,-5.17,-51.61,-19.38,864.42,325.21,325.21,-80.83,-83.28,-83.28,-83.28,-83.28,-33.79,-59.92,-3.63,-7.81,2023-03-31,2023,,
6561 是方,6561,6561,2023-03-31,27,通訊設備,M23K,TEJT19  電子- 電信業,342.37,1.0,3.17,7.21,3.83,7.25,13.35,13.35,14.52,15.06,14.18,14.18,14.51,4.6,-12.43,103.74,0.46,2023-03-31,2023,,
6570 維田,6570,6570,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,57.26,1.0,0.77,3.47,2.09,1.3,22.35,22.35,41.88,9.29,12.21,12.21,12.21,15.38,31.0,5.09,0.33,2023-03-31,2023,,
6585 鼎基,6585,6585,2023-03-31,20,樹脂,M17F,TEJN11  傳產- 其他化學,59.79,1.0,0.71,1.73,1.01,3.46,16.73,16.73,40.75,0.66,-4.28,-4.28,-5.45,3.2,12.74,5.6,0.13,2023-03-31,2023,,
6590 普鴻,6590,6590,2023-03-31,30,軟體服務,M23X,TEJT22  電子- 軟體,69.3,1.0,1.48,5.67,3.65,33.88,23.58,23.58,21.2,54.15,65.08,65.08,34.89,40.86,39.78,328.08,1.51,2023-03-31,2023,,
6592 和潤企業,6592,6592,2023-03-31,20,租賃業,M28K,TEJF01  金融- 金融中介,107.09,1.0,1.63,2.91,0.36,26.62,12.18,12.18,10.33,5.74,4.59,4.59,5.06,25.43,19.03,9.13,0.02,2023-03-31,2023,,
6598 ABC-KY,6598,6598,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,29.0,1.0,-0.62,-7.22,-4.83,53.02,130.12,130.12,26.51,32.25,31.29,31.29,31.29,16.57,-11.44,9.12,2.02,2023-03-31,2023,,
6605 帝寶,6605,6605,2023-03-31,12,汽車組件,M15D,TEJN16  傳產- 汽車,87.14,1.0,2.7,2.82,1.34,13.99,35.06,35.06,113.46,24.64,-1.93,-1.93,-1.46,0.79,8.53,-4.67,0.08,2023-03-31,2023,,
6612 奈米醫材,6612,6612,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,129.5,1.0,0.77,2.0,1.72,24.58,18.02,18.02,-14.31,-12.86,-15.49,-15.49,-32.35,13.3,13.24,4.94,-0.22,2023-03-31,2023,,
6625 必應,6625,6625,2023-03-31,20,電視廣播,M99H,TEJO99  其它業別,49.1,1.0,0.35,2.92,1.58,35.53,282.84,282.84,138.19,150.45,147.91,147.91,146.72,2.29,5.18,-6.17,3.74,2023-03-31,2023,,
6643 M31,6643,6643,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,600.94,1.0,2.24,3.96,2.98,26.34,26.34,26.34,87.09,84.4,76.15,76.15,-36.38,15.87,3.33,-2.38,1.3,2023-03-31,2023,,
6649 台生材,6649,6649,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,42.35,1.0,0.05,0.34,0.3,40.22,27.01,27.01,135.32,148.16,148.16,148.16,148.16,3.47,6.66,,1.08,2023-03-31,2023,,
6657 華安,6657,6657,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,,1.0,-0.84,-9.79,-9.38,93.74,95.26,95.26,-82.5,-83.97,-83.97,-83.97,-83.97,-32.72,-33.48,-20.86,-4.1,2023-03-31,2023,,
6664 群翊,6664,6664,2023-03-31,28,電子設備,M23H,TEJT18  電子- 電子設備,108.23,1.0,2.51,6.13,2.24,12.4,26.83,26.83,23.65,2.16,-2.04,-2.04,-2.82,42.04,15.03,12.95,-0.02,2023-03-31,2023,,
6669 緯穎,6669,6669,2023-03-31,25,PC系統,M23A,TEJT01  電子- PC,1076.92,1.0,18.86,7.98,3.42,46.39,57.94,57.94,54.12,40.11,40.59,40.59,34.27,11.36,40.35,125.22,1.23,2023-03-31,2023,,
6680 鑫創電子,6680,6680,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,69.93,1.0,0.37,1.72,1.07,30.02,39.0,39.0,221.68,-17.2,-19.28,-19.28,-27.48,2.65,9.05,-4.22,-0.23,2023-03-31,2023,,
