證券代碼,年月日,收盤價(元),季別,市值(百萬元),每股盈餘,ROE－綜合損益,營業毛利,營業收入淨額,營業費用,營業利益,營業毛利率,營業利益率,營業費用率,營收成長率,營業毛利成長率,營業利益成長率,營收變動率,營業利益變動率,流動比率,速動比率,負債比率,等級,評鑑結果,屆次
2329 華泰,2021/3/31,14.9222,1,"9,188",0.4,2.78,"517,907","3,788,896","244,412","273,495",13.67,7.22,6.45,4.02,133.09,"4,312.15",9.97,244.7,136.72,98.76,45.57,,,
2330 台積電,2021/3/31,561.0658,1,"15,221,133",5.39,7.69,"189,839,430","362,410,230","39,111,833","150,538,190",52.38,41.54,10.79,16.68,18.07,17.13,0.24,-4.19,172.26,145.73,33.51,,,
2337 旺宏,2021/3/31,38.3136,1,"82,322",0.5,3.25,"3,300,721","9,627,145","2,132,658","1,168,063",34.29,12.13,22.15,2.25,12.07,0.14,-5.22,-18.71,172.74,93.31,42.1,,,
2338 光罩,2021/3/31,66.5626,1,"18,069",1.63,7.76,"334,560","1,276,063","264,087","70,473",26.22,5.52,20.7,15.39,82.22,43.57,-2.65,-18.83,64.99,57.93,64.85,,,
2340 台亞,2021/3/31,23.1611,1,"10,109",0.66,3.27,"496,553","1,583,411","214,394","282,159",31.36,17.82,13.54,36.02,43.33,112.72,14.53,59.55,211.87,174.89,32.78,,,
2342 茂矽,2021/3/31,36.4544,1,"6,129",0.28,2.06,"65,632","411,124","56,522","9,110",15.96,2.22,13.75,3.57,4.93,-20.07,-6.85,-73.37,504.96,440.83,26.39,,,
2344 華邦電,2021/3/31,28.239,1,"117,410",0.4,3.96,"8,010,618","21,325,358","5,714,797","2,295,821",37.56,10.77,26.8,84.65,187.48,"7,117.52",4.8,278.14,201.98,141.28,42.58,,,
2351 順德,2021/3/31,75.9954,1,"14,863",1.02,3.01,"481,275","2,452,214","213,637","267,638",19.63,10.91,8.71,26.41,89.3,292.34,5.22,14.62,203.37,99.67,44.88,,,
2363 矽統,2021/3/31,13.9326,1,"11,768",0,5.8,"18,468","51,152","98,017","-79,549",36.1,-155.51,191.62,77.78,83.82,14.13,12.97,24.94,"1,592.19","1,441.90",0.42,,,
2369 菱生,2021/3/31,14.5812,1,"6,101",0.29,2.08,"250,209","1,710,780","118,655","131,554",14.63,7.69,6.94,33.47,450.99,290.9,12.37,764.65,211.08,167.82,33.76,,,
2379 瑞昱,2021/3/31,442.1295,1,"252,278",5.98,11.68,"10,452,803","23,340,746","7,460,016","2,992,787",44.78,12.82,31.96,46.54,55.44,106.45,5.69,12.87,149.11,127.58,60.09,,,
2388 威盛,2021/3/31,51.5156,1,"26,350",3.38,14.77,"681,035","1,569,700","1,172,593","-491,558",43.39,-31.32,74.7,3.45,25.31,-709.99,-10.51,23.83,413.45,378.6,34.19,,,
2401 凌陽,2021/3/31,26.8639,1,"17,760",0.37,3.2,"843,980","1,698,327","722,168","121,560",49.69,7.16,42.52,64.22,75.74,352.38,-9.55,-40.04,399.6,325.5,20.59,,,
