公司,年月,證期會代碼,季別,財報發布日,每股盈餘,當季季底P/B,當季季底PSR,當季季底P/E,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,ROE(B)－常續利益,營業利益率,營業利益成長率,營業利益變動率,營業利益 /實收資本比,常續利益率－稅後,淨利變動率（單季）,稅前息前折舊前淨利率,稅前淨利率,稅前淨利成長率,稅後淨利率,稅後淨利成長率,季底普通股市值,營收成長率,營收變動率,淨值/資產,總資產成長率,總資產週轉次數,業外收支/營收,營業毛利率,營業毛利成長率,已實現銷貨毛利成長率,已實現銷貨毛利率,自由現金流量(D),營業收入淨額,股東權益總額,來自營運之現金流量
2002 中鋼,2023/9/28,2002,3,2023/11/3,-0.05,1.3,1.07,,1.34,0.03,0.98,-0.15,-0.11,-0.56,50.44,-134.33,-0.31,-0.41,-134.34,10.12,0.18,-90,-0.57,-140.3,"397,305,215",-16.24,-7.47,50.57,-5.28,0.13,0.73,3.06,23.7,23.7,3.06,"-7,836,645","88,229,380","343,055,190","9,195,140"
2006 東和鋼鐵,2023/9/28,2006,3,2023/10/30,1.59,1.49,0.76,8.08,3.13,2.13,2.59,3.81,3.57,9.7,106.9,3.97,19.95,6.97,7.45,13.05,9.63,101.61,7.81,114.96,"44,323,929",3.55,-5.05,52.52,-0.01,0.27,-0.07,13.76,67.03,67.03,13.76,"980,357","15,015,953","29,895,562","1,774,803"
2007 燁興,2023/9/28,2007,3,2023/11/10,-0.46,0.84,1.01,,-1.12,-1.8,-1.31,-3.91,-3.9,-13.25,14.27,32.55,-2.72,-22.27,20.05,-12.36,-22.11,10.2,-22.29,11.51,"5,142,008",-23.92,-18.25,49.88,-3.59,0.09,-8.86,-9.37,12.49,12.49,-9.37,"56,163","1,090,486","6,104,049","-103,992"
2008 高興昌,2023/9/28,2008,3,2023/11/9,0.22,1.21,2.32,35.98,-3.41,0.82,0.98,1.33,1.33,8.68,-29,504.03,1.67,11.61,-87.06,21.61,11.63,-17.07,11.63,-17.97,"3,893,381",-39.84,8.58,44.11,3.91,0.05,2.94,15.9,-40.2,-40.2,15.9,"-23,783","367,124","3,228,812","79,894"
2009 第一銅,2023/9/28,2009,3,2023/11/7,0.21,1.8,4.16,"1,078.21",1.16,0.98,1.19,1.22,1.23,-1.16,94.09,86.74,-0.22,11.16,223.94,15.24,11.06,-58.06,11.06,-58.06,"10,572,887",-6.66,8.02,74.36,22.06,0.08,12.22,1,105.83,105.83,1,710,"672,519","5,876,245","97,205"
2010 春源,2023/9/28,2010,3,2023/11/8,0.33,0.96,0.51,11.57,1.83,1.15,1.45,1.84,1.87,4.37,428.54,36.55,3.83,3.86,7.17,6.65,4.94,300.41,3.81,183.21,"10,977,752",-7.95,5.56,57.22,-5.15,0.28,0.56,8.5,100.56,100.56,8.5,"131,499","5,671,445","11,839,036","-211,633"
2012 春雨,2023/9/28,2012,3,2023/11/9,0.11,1.68,0.81,16.18,1.65,0.71,1.17,1.29,1.19,5.42,-40.53,33.38,3.89,2.74,26.51,10.1,5.18,-50.81,2.97,-57.64,"7,115,915",-19.7,6.83,40.92,-5.31,0.17,-0.25,15.83,-20.15,-20.15,15.83,"217,317","2,165,638","5,030,383","78,520"
2013 中鋼構,2023/9/28,2013,3,2023/11/1,0.67,2.1,0.55,17.62,1.65,1.1,1.35,2.59,2.6,3.47,47.48,-10.22,7.27,3.19,10.03,5.31,3.82,-6.57,3.18,-7.44,"10,820,000",-18.83,-18.85,38.22,-10.99,0.31,0.35,5.52,32.11,32.11,5.52,"351,009","4,191,000","5,163,916","594,093"
2014 中鴻,2023/9/28,2014,3,2023/11/2,-0.08,2.02,0.88,,0.18,-0.2,0.21,-0.67,-0.67,-3.24,85.2,-21.08,-2.12,-1.16,48.85,0.64,-1.76,89.25,-1.16,90.27,"32,371,517",19.31,-3.44,47.1,-12.94,0.28,1.48,-1.93,90.61,90.61,-1.93,"-485,543","9,400,390","15,987,823","568,372"
2015 豐興,2023/9/28,2015,3,2023/10/26,0.91,1.84,1.12,13.13,3.64,2.09,2.98,2.51,2.51,7.24,15.83,-11.72,10.03,6.55,-14.13,11.63,7.92,-7.29,6.55,-9.8,"39,083,453",-8.77,-10.39,81.91,2.45,0.31,0.69,9.7,10.12,10.12,9.7,"220,053","8,063,338","21,190,611","461,902"
2017 官田鋼,2023/9/28,2017,3,2023/11/13,-0.12,1.13,2,,-0.48,0.05,0.08,-0.22,-0.91,-14.04,-180.45,-3.57,-2.8,-6.54,78.95,0.65,-8.85,-141.48,-1.62,-108.79,"6,010,455",-1.23,12.53,56.52,6.36,0.08,5.19,-2.09,-107.21,-107.21,-2.09,"-488,501","890,863","6,627,747","55,356"
2020 美亞,2023/9/28,2020,3,2023/11/10,1.45,1.78,0.89,7.59,6.18,4.6,4.85,9.25,8.92,5.74,400.03,-36.48,4.69,17.05,107.38,24.76,21.76,"4,753.69",17.68,961.14,"6,475,507",10.23,-12.79,50.27,-3.74,0.25,16.02,10.08,622.25,651.14,10.07,-989,"1,819,212","3,638,976","456,873"
2022 聚亨,2023/9/28,2022,3,2023/11/14,-0.11,1.2,0.48,23.79,0.62,-0.14,0.93,-0.42,-0.21,1.36,207.8,-37.27,0.94,-0.61,-44.77,4.64,-0.65,78.08,-1.22,70.84,"4,231,458",3.4,5.19,73.54,7.18,0.26,-2.01,11.07,131.48,131.48,11.07,"-50,609","2,337,400","6,758,031","234,546"
2023 燁輝,2023/9/28,2023,3,2023/11/10,-0.02,0.97,0.42,,1.06,0.28,0.79,-0.37,-0.35,2.66,586.75,4.69,2.56,-0.59,56.8,5.14,-0.47,81.8,-0.62,76.34,"29,979,106",-7.2,2.74,34.31,-2.89,0.2,-3.13,9.74,0.02,0.02,9.74,"1,507,875","18,911,115","31,866,676","1,237,752"
2024 志聯,2023/9/28,2024,3,2023/11/8,-0.1,1.45,1.78,,0.66,-0.32,0.42,-0.86,-0.86,-6.14,-265.64,9.23,-1.49,-4.09,37.95,5.47,-4,-171.07,-4.09,-191.53,"1,618,500",-3.16,26.95,58.65,-17.64,0.12,2.14,0.68,-93.92,-93.92,0.68,"14,621","236,468","1,116,524","67,747"
2025 千興,2023/9/28,2025,3,2023/11/13,-0.01,1.21,3.4,,-24.04,-0.19,-1.77,-0.2,-2.22,-21.87,5.56,-65.63,-2.14,-14.67,-100.97,1.96,-1.42,-100.97,-1.3,-100.95,"2,195,914",302.04,923.81,97.63,7.36,0.15,20.44,-18.64,7.27,7.27,-18.64,"2,030","275,590","1,818,096","-313,201"
2027 大成鋼,2023/9/28,2027,3,2023/11/13,0.55,1.36,0.87,9.33,1.79,1.3,1.8,2.26,2.45,7.64,-11.14,-28.29,7.6,7.63,-16.35,13.48,9.43,-28.05,7.05,-28.07,"89,702,481",-12.71,-8.19,53.12,-1.15,0.17,1.79,18.49,-20.98,-20.98,18.49,"1,276,273","24,210,139","77,841,737","8,109,263"
2028 威致,2023/9/28,2028,3,2023/11/10,-0.09,1.79,0.68,17.49,0.44,-0.31,0.34,-0.69,-0.69,-1.74,-144.4,-118.49,-0.96,-1.69,-120.16,1.86,-2.14,-153.19,-1.7,-150.38,"7,735,708",-26.68,-33.69,54.5,-11.85,0.23,-0.4,0.31,-94.9,-94.9,0.31,"116,519","1,806,914","4,328,533","1,026"
2029 盛餘,2023/9/28,2029,3,2023/11/9,0.68,0.79,0.69,11.94,3.27,2.04,2.56,2.26,2.26,7.55,193.47,263.82,7.34,7.1,237.72,11.06,8.79,242.73,7.09,241.38,"7,740,438",24.21,6.25,91.76,3.15,0.29,1.24,12.04,396.93,396.93,12.04,"-14,711","3,122,171","9,903,350","-222,243"
2030 彰源,2023/9/28,2030,3,2023/11/8,0.05,1.03,0.39,28.7,1.07,0.38,0.87,0.28,0.28,0.78,-52.33,208.57,0.87,0.43,113.3,4.23,0.69,170.25,0.43,159.41,"5,105,573",-22.5,-8.62,41.09,-6.37,0.27,-0.09,6.26,-29.75,-29.75,6.26,"-1,286,738","3,164,520","4,952,927","-239,557"
2031 新光鋼,2023/9/28,2031,3,2023/11/7,1.33,1.42,0.93,17.54,-0.67,1.92,0.9,4.08,1.09,4.21,244.63,115.31,5.83,2.7,-2.27,14.05,10.42,487.59,10.11,394.94,"15,013,576",4.21,14.88,39.47,16.6,0.16,6.21,7.38,131.46,131.46,7.38,"-1,076,492","4,444,133","11,257,384","-952,322"
2032 新鋼,2023/9/28,2032,3,2023/11/9,0.06,1.28,0.73,,0.8,0.44,0.63,0.5,0.5,0.19,-58.85,105.91,0.11,1.14,164.84,2.1,1.45,-26.36,1.14,-34.15,"2,127,492",-10.05,6.71,87.78,-3.57,0.38,1.26,4.37,12.9,12.9,4.37,"63,722","724,811","1,665,894","-44,973"
2033 佳大,2023/9/28,2033,3,2023/11/7,-0.01,1.17,1.92,,0.48,0.01,0.34,-0.04,-0.04,-1.52,70.53,-620,-0.25,-0.31,51.57,4.47,0.16,104.6,-0.31,90.35,"1,198,306",-27.28,-14.23,83.92,-12.16,0.11,1.68,9.46,31.69,31.69,9.46,-646,"132,940","1,020,473","19,462"
2034 允強,2023/9/28,2034,3,2023/11/13,-0.42,1.38,0.8,,-0.49,-0.82,-0.31,-2.13,-1.86,5.19,9.95,10.92,4.72,-4.04,-191.6,-2.17,-5.37,-165.31,-4.62,-170.76,"12,218,879",-6.6,6.61,46.41,-6.3,0.21,-10.56,10.09,-18.73,-18.73,10.09,"-758,793","4,066,862","8,865,851","677,932"
2035 唐榮,2023/9/28,2035,3,2023/10/27,-0.55,2.22,0.94,,-0.65,-0.97,-0.75,-3.73,-3.73,-7.91,56.27,60,-5.73,-7.56,60.77,-4.38,-7.56,56.56,-7.56,56.56,"11,200,000",-12.04,-12.31,29.96,-2.88,0.15,0.35,-5.32,65.27,65.27,-5.32,"-307,310","2,534,388","5,034,380","93,133"
2038 海光,2023/9/28,2038,3,2023/11/13,0,0.91,0.36,48.45,0.53,0.13,0.39,-0.11,-1.01,0.07,105.34,-95.22,0.08,-1.87,-118.07,4.61,0.12,-95.92,-0.2,-109.11,"3,349,755",-29.16,-5.29,40.96,0.06,0.22,0.05,2.4,63.18,63.18,2.4,"171,243","2,145,264","3,960,636","-428,066"
2049 上銀,2023/9/28,2049,3,2023/11/10,1.78,2.07,2.94,23.26,3.21,1.11,2.51,1.58,2.34,14.39,-43.47,-1.57,26.68,12.3,-5.96,21.78,12.09,-56.86,8.32,-60.69,"71,996,672",-17.21,-0.39,66.89,-3.81,0.12,-2.31,33.27,-26.4,-26.4,33.27,"-276,773","6,557,875","34,748,854","2,048,265"
2059 川湖,2023/9/28,2059,3,2023/11/6,10.3,4.96,13.41,22.4,6.41,4.9,5.17,6.37,6.37,47.33,-35.04,11.01,70.68,69,37.41,91.05,85.5,-34.6,69.01,-33.75,"78,905,916",-33.83,8.31,79.67,8.74,0.07,38.17,58.42,-32.81,-32.81,58.42,"3,883","1,423,009","15,920,681","959,308"
2061 風青,2023/9/28,2061,3,2023/11/13,0.24,1.51,0.84,,-0.31,1.36,0.16,2.25,-1.12,-5.01,21.23,-219.23,-2.39,-2.5,162.65,9.57,5.47,195.24,5,168.19,"770,216",-2.37,1.12,47.51,-7.97,0.21,10.48,1.27,617.93,617.93,1.27,"10,664","224,529","509,287","-30,756"
2062 橋椿,2023/9/28,2062,3,2023/11/2,0.72,0.6,0.62,13.79,2.75,1.28,2.54,1.98,2.04,6.24,-35.89,38.6,6.32,7.29,42.99,16.25,6.25,-58.57,7.08,-38.71,"4,429,867",14.57,5.84,58.6,-2.55,0.17,0.01,13.41,-7.66,-7.66,13.41,"-543,241","2,024,644","7,416,172","300,506"
2063 世鎧,2023/9/28,2063,3,2023/11/8,1.7,2.28,1.72,8.33,6.66,4.67,5.34,7.92,7.92,23.56,24.22,-4.08,19.02,21.07,1.32,30.89,26.31,13.98,21.07,14.16,"2,524,589",13.16,-3.11,58.88,-0.82,0.22,2.76,31.19,14.54,14.54,31.19,"19,126","400,409","1,108,741","195,993"
2064 晉椿,2023/9/28,2064,3,2023/11/8,-0.22,1.07,0.76,,0.48,-0.38,0.26,-1.45,-1.46,-8.17,-887.19,-47.93,-4.13,-4.45,-190,3.48,-4.37,-142.22,-4.4,-153.11,"1,141,932",-27.25,2.68,42.19,-14.45,0.14,3.8,0.03,-99.66,-99.7,0.03,"9,243","352,050","1,062,902","100,570"
2065 世豐,2023/9/28,2065,3,2023/10/27,1.46,1.8,1.27,8.18,4.02,2.67,3.27,4.68,4.68,15.1,-30.27,46.98,14.61,15.07,37.57,24.03,18.86,-32.74,15.08,-32.67,"3,014,898",-21.12,-1.85,54.11,8.29,0.17,3.76,22.3,-26.87,-26.87,22.3,"-57,683","507,569","1,674,746","198,886"
2066 世德,2023/9/28,2066,3,2023/11/13,2.14,1.95,1.25,8.38,4.2,2.81,3.32,4.85,4.85,13.14,27.06,3.4,21.24,13.11,15.18,21.37,16.58,4.6,13.11,3.77,"3,530,590",-9.1,-2.61,51.6,12.51,0.2,3.44,33.08,5.1,5.1,33.08,"-188,741","678,027","1,811,051","180,185"
2067 嘉鋼,2023/9/28,2067,3,2023/11/10,0,1.48,0.46,,-0.99,0.12,1.11,-0.92,-0.91,-1.22,84.6,-156.51,-0.79,-1.43,-85.06,9.77,-1.38,80.32,-1.45,72.96,"584,537",-6.41,-12.22,23.58,-0.8,0.15,-0.15,14.28,24.93,24.93,14.28,"33,734","291,801","461,268","21,379"
2069 運錩,2023/9/28,2069,3,2023/11/10,-0.29,0.73,0.23,,0.58,-0.1,0.44,-1.28,-1.18,-0.75,63.25,49.33,-1.37,-1.46,47.9,1.64,-1.91,47.29,-1.59,47.7,"2,770,327",-10.52,-1.47,39.22,7.03,0.32,-1.17,3.34,-11.66,-11.66,3.34,"85,797","3,048,521","3,785,556","-169,768"
2070 精湛,2023/9/28,2070,3,2023/11/8,0.66,1.25,1.73,14.77,3.43,1.96,2.78,2.78,2.78,16.53,13.96,188.02,6.85,15.87,234.49,29.29,20.3,-3.96,15.91,-4.09,"1,071,671",5.56,6.1,69.19,-4.14,0.12,3.78,54.11,7.57,7.57,54.11,-572,"148,423","860,366","-18,958"
2073 雄順,2023/9/28,2073,3,2023/11/9,-0.11,1.91,1.64,60.64,1.84,-0.28,1.47,-0.72,-0.72,-2.54,-120.04,-149.15,-1.07,-2.73,-625.75,12.68,-3.43,-130.88,-2.73,-131.43,"831,875",-27.43,-7.14,54.86,-3.41,0.14,-0.89,10.69,-63.27,-63.27,10.69,"6,208","115,736","434,922","16,052"
2101 南港,2023/9/28,2101,3,2023/11/13,-0.01,3.04,4.29,,0.49,0.08,0.37,-0.06,-0.35,8.42,569.33,47.41,2.14,-1.71,-106.03,11.71,0.89,118.27,-0.29,92.06,"31,731,189",15.5,3.12,26.29,7.04,0.05,-7.53,22.16,41.73,41.78,22.16,"-873,103","2,117,484","10,448,678","-830,301"
2102 泰豐,2023/9/28,2102,3,2023/11/14,-0.51,1.08,10.92,,-1,-1.78,-0.97,-4.21,-3.74,-402.65,-39.18,33.54,-3.88,-455.16,16.05,-272.18,-519.78,-89.49,-512.35,-84.61,"8,567,255",-91.32,-59.13,53.83,31.89,0,-117.12,-149.79,-269.18,-269.18,-149.79,"-56,841","45,579","7,923,993","-50,137"
2103 台橡,2023/9/28,2103,3,2023/11/2,0.19,0.99,0.63,16.76,1.99,0.81,1.43,1.09,0.98,2.14,-68.73,75.91,1.99,2.72,97.32,10.04,4.66,-46.04,3.03,-47.46,"19,528,018",-12.03,-0.69,57.76,3.86,0.2,2.52,9.46,-40.59,-40.59,9.46,"554,835","7,688,862","22,002,491","912,240"
2104 國際中橡,2023/9/28,2104,3,2023/11/9,0.01,0.58,1.04,172.83,1.03,0.24,0.71,0,0.01,1.24,-92.96,117.08,0.59,0.1,99.81,12.48,1.66,-90.94,-0.02,-100.13,"19,842,370",-29.57,15.69,62.27,-5.28,0.08,0.41,8.27,-67.03,-67.03,8.27,"-1,097,787","4,713,900","36,337,448","505,602"
2105 正新,2023/9/28,2105,3,2023/11/9,0.61,1.62,1.43,14.75,4.14,1.55,3.04,2.35,2.37,12.2,46.86,17.44,9.53,7.84,-5.76,23.23,11.61,37.32,7.78,29.16,"137,760,138",-5.57,2.88,59.56,-2.31,0.18,-0.59,25.47,15.37,15.37,25.47,"-6,635,406","25,332,601","85,776,663","7,764,337"
2106 建大,2023/9/28,2106,3,2023/11/10,0.45,1.4,0.82,86.46,2.59,1.19,1.99,2.21,2.21,6.45,"5,234.14",101.56,6.05,4.81,11.01,13.21,6.51,83.91,4.8,85.87,"28,121,511",-13.58,2.89,43.75,-8.19,0.2,0.06,21.99,37.44,37.44,21.99,"-326,630","8,955,746","20,071,093","1,666,281"
2107 厚生,2023/9/28,2107,3,2023/11/7,0.66,0.58,4.65,11.59,1.74,1.48,1.49,1.72,1.56,11.13,-43.99,-52.41,1.09,63.48,-18.38,90.75,79.73,-35.85,69.78,-35.15,"6,952,280",-23.25,-29.46,85.41,6.17,0.02,68.61,30.9,-20.76,-20.76,30.9,"319,208","296,960","12,053,558","379,156"
2108 南帝,2023/9/28,2108,3,2023/11/8,0.4,1.24,1.97,15.1,2.52,1.51,1.92,1.68,1.68,7.84,-7.61,-8.47,3.76,10.77,-15.65,17.81,14.06,-38.07,10.77,18.31,"17,825,459",-6.13,5.05,89.7,-2.06,0.14,6.22,21.48,-5.72,-5.72,21.48,"-263,598","2,360,657","15,404,227","526,230"
2109 華豐,2023/9/28,2109,3,2023/11/10,0.44,1.18,0.82,12.27,-0.84,2.17,2.81,3.44,3.72,15.62,44.35,410.68,6.7,14.9,15.24,22.73,17.88,-17.74,13.79,-19.37,"3,910,886",-10.73,-1.08,60.94,-3.93,0.15,2.26,25.41,15.6,15.6,25.41,"1,094,906","1,198,865","4,838,832","188,901"
2114 鑫永銓,2023/9/28,2114,3,2023/11/2,1.58,2.85,5.38,14.68,4.72,3.35,3.77,4.27,4.27,33.42,-21.49,-3.9,17.1,30.95,0.46,43.73,38.7,0.31,30.96,11.86,"8,423,028",-14.23,0.84,81.12,5.63,0.11,5.28,41.83,-26.05,-26.05,41.83,"-238,521","399,131","2,958,719","105,879"
2115 六暉-KY,2023/9/28,2115,3,2023/11/7,0.12,0.97,1.17,14.13,-0.87,0.43,1.3,0.38,0.34,7.2,-36.9,40.53,4.96,1.5,78.23,15.13,6.07,-52.35,1.67,-78.66,"2,982,090",-11.05,14.13,66.39,-10.94,0.15,-1.13,20.11,-13.06,-13.06,20.11,"108,542","685,542","3,078,464","76,873"
2201 裕隆,2023/9/28,2201,3,2023/11/14,1.2,1.57,1.11,11.24,1.54,0.62,1.25,2.77,2.75,11.62,-3.52,4.02,22.26,11.09,0.64,29.58,14.08,99.52,11.15,175.92,"88,810,083",6.29,5.12,21.89,8.84,0.05,2.46,35.89,6.97,6.94,35.89,"6,352,652","20,499,026","84,660,844","-6,374,342"
2204 中華,2023/9/28,2204,3,2023/11/14,2.46,1.58,1.52,26.99,3.89,2.94,3.25,3.81,3.75,5.93,4.45,-7.9,9.88,14.99,-12.03,20.01,17.69,449.57,15.22,383.55,"53,977,950",23.92,-1.89,78,-6.65,0.19,11.76,15.76,15.34,16.35,15.94,"999,137","9,227,686","37,919,182","1,355,220"
2206 三陽工業,2023/9/28,2206,3,2023/11/14,1.6,2.89,1,11.13,1.58,2.34,2.8,5.68,5.68,9.2,40.99,-18.45,19.26,8.05,-44.52,12.37,9.61,30.02,8.05,30.69,"61,964,895",14.8,-4.03,40.23,14.24,0.27,0.41,20.79,24.12,24.12,20.79,"358,303","16,686,526","24,425,950","2,997,438"
2207 和泰車,2023/9/28,2207,3,2023/11/10,11.39,5.83,1.36,26.86,2.69,1.85,2.41,8.05,7.96,13.42,192.79,-5.95,168.06,10.18,-9.55,17.8,10.88,160.48,10.3,156.22,"364,901,810",12.46,-1.78,20.64,20.36,0.15,-2.54,20.2,330.49,330.76,20.17,"-4,595,998","69,765,906","96,093,069","-2,596,775"
2208 台船,2023/9/28,2208,3,2023/11/10,-1,3.42,0.86,,-1.62,-2.21,-1.75,-13.98,-13.97,-3.96,85.18,58.29,-2.36,-16.88,2.39,-11.5,-16.73,28.61,-16.89,28.02,"21,330,795",29.1,-0.71,16.55,-19.48,0.14,-12.77,-1.9,92.12,92.12,-1.9,"-610,166","5,552,855","6,242,048","2,738,854"
2211 長榮鋼,2023/9/28,2211,3,2023/11/14,2.2,1.28,2.59,6.01,3.71,3.09,3.37,4.06,4.06,32.34,67.13,2.96,23.96,35.24,-48.06,42.95,38.21,52.03,35.26,66.27,"29,613,461",28.2,-10.06,77.3,11.7,0.09,5.88,36.43,55.09,55.09,36.43,"74,953","3,091,036","26,428,692","1,451,222"
2221 大甲,2023/9/28,2221,3,2023/11/13,0.94,1.5,1.02,9.16,3.88,2.64,3.01,4.44,4.17,11.67,-58.65,164.78,11.9,9.71,376.09,16.2,13.23,-54.47,10.33,-55.57,"1,453,864",-17.23,40.69,59.71,-4.15,0.25,1.56,19.69,-47.96,-47.96,19.69,"13,471","431,789","1,026,172","15,432"
2227 裕日車,2023/9/28,2227,3,2023/11/7,1.28,3.09,2.14,33.83,2.28,1.59,1.8,2.17,2.13,0.21,-66.68,-87.83,0.45,5.84,196.98,9.09,7.92,-56.43,5.97,-58.88,"56,250,000",24.22,4.53,75.99,-1.95,0.27,7.71,12.64,4.12,4.12,12.64,"-4,627,511","6,436,491","18,199,762","2,387,482"
2228 劍麟,2023/9/28,2228,3,2023/11/8,1.86,1.66,1.5,11.21,4.51,2.43,3.53,3.41,3.95,14.35,0.15,104.51,25.27,12.23,25.07,18.07,13.87,-25.23,10.56,-25.99,"7,024,806",5.16,13.75,72.21,-1.34,0.23,-0.48,26.21,-4.08,-4.08,26.21,"-103,467","1,334,695","4,243,358","819,492"
2230 泰茂,2023/9/28,2230,3,2023/11/9,0.93,5.98,8.44,53.36,4.71,3.74,4.2,5.73,5.77,21.4,403.47,155.02,8.29,23.86,140.37,30.72,26.48,190.03,23.69,213.37,"4,753,960",28.66,38.41,65.19,17.51,0.15,5.08,35.14,124.36,124.36,35.14,"-23,451","184,390","808,028","18,957"
2231 為升,2023/9/28,2231,3,2023/11/14,1,4.63,4.37,25.12,2.58,1.34,2.06,2.4,2.74,12.35,905.34,-11.07,9.26,13.56,9.21,24.3,16.36,30.57,11.88,10.88,"19,660,712",10.34,2.72,52.09,2.87,0.1,4.01,40.46,26.95,26.95,40.46,"-473,129","1,056,843","5,311,866","-94,186"
2233 宇隆,2023/9/28,2233,3,2023/11/13,2.58,2,2.18,13.38,5.36,3.2,4.47,4.55,4.52,20.83,40.1,94.27,31.01,17.09,13.62,29.17,20.39,-10.77,17.18,-7.09,"6,993,408",4.39,12.93,72.42,-6.03,0.19,-0.43,36.33,19.4,19.4,36.33,"14,418","897,517","3,507,995","279,386"
2235 謚源,2023/9/28,2235,3,2023/11/9,1.18,1.18,2.79,20.56,3.91,2.4,3.17,3.31,3.32,15.24,-47.51,35.35,7.37,24.38,31.45,40.73,30.28,-54.84,24.3,-54.5,"1,526,609",-21.46,27.05,76.21,-21.41,0.1,15.04,26.18,-32.94,-32.94,26.18,"25,501","173,649","1,294,613","50,871"
2236 百達-KY,2023/9/28,2236,3,2023/11/14,0.72,3.1,2.32,26.78,2.92,1.58,2.25,2.56,2.39,8.75,123.36,"125,002.94",9.13,6.12,178.88,13.94,8.57,72.75,6.54,171.87,"3,929,975",33.02,23.88,53.24,17.52,0.22,-0.18,32.13,75.81,75.81,32.13,"-203,980","485,860","1,288,670","-9,175"
2239 英利-KY,2023/9/28,2239,3,2023/11/8,0.47,0.63,0.28,63.82,1.78,0.42,1.42,0.58,0.56,2.85,-12.97,18.52,14.52,1.38,769.62,10.75,1.94,-41.75,1.42,-30.52,"6,919,378",-13.05,-0.82,41.77,7.42,0.17,-0.91,13.26,-0.77,-0.77,13.26,"-368,980","6,132,430","15,392,816","-356,118"
2241 艾姆勒,2023/9/28,2241,3,2023/11/9,-0.37,2.92,4.69,,-0.05,-1.18,-0.29,-2.77,-2.68,-16.11,57.42,37.64,-4.42,-14.37,36.99,-0.62,-14.6,40.61,-14.87,41.6,"3,669,202",63.86,15.4,47.97,-10.98,0.09,1.51,2.41,115.71,115.71,2.41,"-63,758","245,956","1,302,344","-52,364"
2243 宏旭-KY,2023/9/28,2243,3,2023/11/13,0.46,1.36,0.77,,1.97,1.06,1.65,4.33,4.34,8.66,208.07,167.98,6.11,6.58,143.26,15.18,7.5,314.84,6.57,666.47,"1,050,925",18.06,121.8,20.59,12.18,0.13,-1.16,15.63,51.54,51.54,15.63,"-24,397","489,286","775,021","88,654"
2247 汎德永業,2023/9/28,2247,3,2023/11/13,5.51,2,0.49,11.02,3.78,2.09,3.02,3.65,3.65,4.18,24.86,-17.22,68.14,3.38,-18.1,6.23,4.24,25.47,3.38,25.99,"24,817,710",19.44,-13.77,58.55,5.07,0.61,0.06,11.44,10.04,10.04,11.44,"-181,154","13,149,038","12,414,907","278,595"
2250 IKKA-KY,2023/9/28,2250,3,2023/11/13,2.17,1.17,0.55,11.22,4.04,1.95,3.03,3.94,4.08,7.91,83.13,179.68,26.73,6.62,226.33,13.51,8.87,45.12,6.4,175.55,"1,938,156",5.58,17.56,47.67,4.43,0.29,0.96,20.89,28.44,28.44,20.89,"-13,234","992,435","1,657,129","121,992"
2301 光寶科,2023/9/28,2301,3,2023/10/30,1.99,3.43,1.86,17.61,2.16,2.52,1.96,5.5,3.14,11.56,5.14,6.82,19.51,6.53,8.49,18.08,14.38,7.41,11.43,7.41,"287,754,768",-13.46,7.14,42.16,-1.2,0.21,2.81,23.6,4.76,4.76,23.6,"1,084,505","39,957,224","84,510,049","7,090,064"
2302 麗正,2023/9/28,2302,3,2023/11/14,0.16,1.64,3.65,22.07,1.84,1.3,1.74,1.55,1.45,14.74,-36.09,5.57,1.69,13.34,-33.99,26.22,18.88,-42.9,14.3,-50.75,"2,910,285",-21.78,-10.87,86.3,-2.22,0.09,4.14,37.3,-21.39,-21.39,37.3,"-2,756","190,995","1,777,622","45,377"
2303 聯電,2023/9/28,2303,3,2023/10/25,1.29,1.62,2.4,7.02,5.15,2.97,4.36,4.72,4.64,26.83,-49.23,-2.31,12.25,27.5,0.43,50.86,32.68,-42.35,27.98,-41.61,"565,141,883",-24.3,1.37,63.96,5.37,0.1,5.85,35.85,-42.63,-42.63,35.85,"-22,506,126","57,068,867","350,016,189","19,058,910"
2305 全友,2023/9/28,2305,3,2023/11/7,0.11,2.11,8.36,301.02,1.04,1.04,1.21,1.29,1.08,-9.58,21.28,46.61,-0.8,13.99,49.16,28.39,21.04,-11.1,16.69,-27.32,"4,678,765",-9.94,36.7,78.98,-3.36,0.06,30.61,34.01,19.15,19.15,34.01,"-14,466","172,741","2,273,089","47,070"
2308 台達電,2023/9/28,2308,3,2023/10/31,3.6,4.27,2.07,18.22,4.41,2.5,3.47,4.82,4.8,11.04,-12.12,15.7,45.8,10.19,15.82,18.23,12.78,-9.23,10.23,-9.75,"842,902,704",1.46,7.2,52.18,7.66,0.24,1.74,29.57,-0.96,-0.96,29.57,"-19,592,199","107,795,435","240,595,127","15,234,006"
2312 金寶,2023/9/28,2312,3,2023/11/14,0.24,1.12,,10.43,1.93,0.79,1.61,1.47,2.54,2.48,12.3,39.03,6.55,1.97,180.7,4.98,1.39,-19.21,1.14,-3.82,"23,077,131",-22.47,0.51,25.79,-10.27,0.33,-1.09,6.5,-17.15,-17.15,6.5,"189,249","39,601,969","31,672,882","-125,976"
