公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模,股價變化,股價變化率
2603 長榮,2023/6/30,TSE,2603,15,海運,1.98,2.0,21164200820,2.47,1.05,0.47,-61.19,-88.07,-88.07,-90.86,-86.63,-93.96,-93.96,-94.07,1.19,-7.14,18.51,-22.14,4.79,93.5,197885.0,大,6.58,0.08
2605 新興,2023/6/30,TSE,2605,15,海運,2.55,2.0,5853532970,1.52,23.32,0.73,8.76,29.1,29.1,39.37,235.32,157.15,143.99,41.75,7.32,6.08,0.04,1.19,0.39,20.1,11766.0,中,-4.05,-0.17
2609 陽明,2023/6/30,TSE,2609,15,海運,0.87,2.0,34921042700,1.11,2.35,0.79,-66.69,-95.29,-95.29,-97.88,-93.17,-97.04,-97.04,-97.12,-6.35,-0.66,-0.99,-22.09,0.94,44.82,220003.0,大,-0.92,-0.02
2611 志信,2023/6/30,TSE,2611,15,貨運倉儲業,2.44,2.0,1890022720,2.66,8.84,0.98,-29.37,-50.32,-50.32,-266.23,122.95,123.08,123.08,107.99,4.54,4.67,,10.83,0.4,13.35,2523.0,中,-0.2,-0.01
2612 中航,2023/6/30,TSE,2612,15,海運,1.79,2.0,1974845930,1.89,13.74,0.7,-13.76,-42.35,-42.35,-63.65,-32.23,-39.64,-39.64,-80.03,19.46,5.8,27.51,-0.07,1.13,38.86,8107.0,中,1.51,0.04
2615 萬海,2023/6/30,TSE,2615,15,海運,-0.58,2.0,28061462930,-2.04,5.29,0.79,-67.85,-102.55,-102.55,-105.57,-100.51,-106.29,-106.29,-107.82,-4.91,5.12,44.22,-20.52,-1.59,54.0,165563.0,大,-8.69,-0.14
2616 山隆,2023/6/30,TSE,2616,23,公用事業,4.25,2.0,1372818270,1.24,24.07,0.89,-16.13,-23.38,-23.38,-109.46,-70.78,-68.68,-68.68,-68.72,5.82,8.5,11.55,-1.45,0.41,31.06,4482.0,中,0.19,0.01
2617 台航,2023/6/30,TSE,2617,15,海運,1.59,2.0,4172944870,2.0,12.48,0.84,7.99,10.86,10.86,10.61,-66.6,-76.28,-76.28,-75.87,-0.24,-0.92,6.19,-3.36,0.74,28.3,12727.0,中,-0.51,-0.02
2637 慧洋-KY,2023/6/30,TSE,2637,15,海運,3.12,2.0,7464091990,3.03,8.31,0.81,-37.67,-77.04,-77.04,-77.9,-79.69,-79.84,-79.84,-89.64,-1.4,4.94,-1.34,-5.27,1.87,48.8,36425.0,中,-8.48,-0.15
2641 正德,2023/6/30,OTC,2641,15,海運,2.42,2.0,2700305110,2.06,8.33,0.82,-23.32,-37.1,-37.1,-40.68,-57.63,-76.75,-76.75,-67.73,21.54,50.73,14.58,-4.67,0.45,17.5,4237.0,中,-1.83,-0.09
