company_id,market_type,industry,company_name,industry_name
1101,TSE,1,台泥,水泥工業
1102,TSE,1,亞泥,水泥工業
1103,TSE,1,嘉泥,水泥工業
1104,TSE,1,環泥,水泥工業
1108,TSE,1,幸福,水泥工業
1109,TSE,1,信大,水泥工業
1110,TSE,1,東泥,水泥工業
1201,TSE,2,味全,食品工業
1203,TSE,2,味王,食品工業
1210,TSE,2,大成,食品工業
1213,TSE,2,大飲,食品工業
1215,TSE,2,卜蜂,食品工業
1216,TSE,2,統一,食品工業
1217,TSE,2,愛之味,食品工業
1218,TSE,2,泰山,食品工業
1219,TSE,2,福壽,食品工業
1220,TSE,2,台榮,食品工業
1225,TSE,2,福懋油,食品工業
1227,TSE,2,佳格,食品工業
1229,TSE,2,聯華,食品工業
1231,TSE,2,聯華食,食品工業
1232,TSE,2,大統益,食品工業
1233,TSE,2,天仁,食品工業
1234,TSE,2,黑松,食品工業
1235,TSE,2,興泰,食品工業
1236,TSE,2,宏亞,食品工業
1240,OTC,33,茂生農經,農業科技
1256,TSE,2,鮮活果汁-KY,食品工業
1259,OTC,16,安心,觀光餐旅
1264,OTC,2,德麥,食品工業
1268,OTC,16,漢來美食,觀光餐旅
1301,TSE,3,台塑,塑膠工業
1303,TSE,3,南亞,塑膠工業
1304,TSE,3,台聚,塑膠工業
1305,TSE,3,華夏,塑膠工業
1307,TSE,3,三芳,塑膠工業
1308,TSE,3,亞聚,塑膠工業
1309,TSE,3,台達化,塑膠工業
1310,TSE,3,台苯,塑膠工業
1312,TSE,3,國喬,塑膠工業
1313,TSE,3,聯成,塑膠工業
1314,TSE,3,中石化,塑膠工業
1315,TSE,3,達新,塑膠工業
1316,TSE,14,上曜,建材營造
1319,TSE,12,東陽,汽車工業
1321,TSE,3,大洋,塑膠工業
1323,TSE,3,永裕,塑膠工業
1324,TSE,3,地球,塑膠工業
1325,TSE,3,恒大,塑膠工業
1326,TSE,3,台化,塑膠工業
1336,OTC,28,台翰,電子零組件
1337,TSE,3,再生-KY,塑膠工業
1338,TSE,12,廣華-KY,汽車工業
1339,TSE,12,昭輝,汽車工業
1340,TSE,3,勝悅-KY,塑膠工業
1341,TSE,3,富林-KY,塑膠工業
1342,TSE,20,八貫,其他
1402,TSE,4,遠東新,紡織纖維
1409,TSE,4,新纖,紡織纖維
1410,TSE,4,南染,紡織纖維
1413,TSE,4,宏洲,紡織纖維
1414,TSE,4,東和,紡織纖維
1416,TSE,20,廣豐,其他
1417,TSE,4,嘉裕,紡織纖維
1418,TSE,4,東華,紡織纖維
1419,TSE,4,新紡,紡織纖維
1423,TSE,4,利華,紡織纖維
1432,TSE,37,大魯閣,運動休閒
1434,TSE,4,福懋,紡織纖維
1435,TSE,20,中福,其他
1436,TSE,14,華友聯,建材營造
1437,TSE,20,勤益控,其他
1438,TSE,14,三地開發,建材營造
1439,TSE,14,雋揚,建材營造
1440,TSE,4,南紡,紡織纖維
1441,TSE,4,大東,紡織纖維
1442,TSE,14,名軒,建材營造
1443,TSE,20,立益物流,其他
1444,TSE,4,力麗,紡織纖維
1445,TSE,4,大宇,紡織纖維
1446,TSE,4,宏和,紡織纖維
1447,TSE,4,力鵬,紡織纖維
1449,TSE,4,佳和,紡織纖維
1451,TSE,4,年興,紡織纖維
1452,TSE,4,宏益,紡織纖維
1453,TSE,14,大將,建材營造
1454,TSE,4,台富,紡織纖維
1455,TSE,4,集盛,紡織纖維
1456,TSE,14,怡華,建材營造
1457,TSE,4,宜進,紡織纖維
1459,TSE,4,聯發,紡織纖維
1460,TSE,4,宏遠,紡織纖維
1463,TSE,4,強盛,紡織纖維
1464,TSE,4,得力,紡織纖維
1465,TSE,4,偉全,紡織纖維
1466,TSE,4,聚隆,紡織纖維
1467,TSE,4,南緯,紡織纖維
1468,TSE,4,昶和,紡織纖維
1470,TSE,4,大統新創,紡織纖維
1471,TSE,28,首利,電子零組件
1472,TSE,14,三洋實業,建材營造
1473,TSE,4,台南,紡織纖維
1474,TSE,4,弘裕,紡織纖維
1475,TSE,4,業旺,紡織纖維
1476,TSE,4,儒鴻,紡織纖維
1477,TSE,4,聚陽,紡織纖維
1503,TSE,5,士電,電機機械
1504,TSE,5,東元,電機機械
1506,TSE,5,正道,電機機械
1512,TSE,12,瑞利,汽車工業
1513,TSE,5,中興電,電機機械
1514,TSE,5,亞力,電機機械
1515,TSE,5,力山,電機機械
1516,TSE,20,川飛,其他
1517,TSE,5,利奇,電機機械
1519,TSE,5,華城,電機機械
1521,TSE,12,大億,汽車工業
1522,TSE,12,堤維西,汽車工業
1524,TSE,12,耿鼎,汽車工業
1525,TSE,12,江申,汽車工業
1526,TSE,5,日馳,電機機械
1527,TSE,5,鑽全,電機機械
1528,TSE,5,恩德,電機機械
1529,TSE,5,樂事綠能,電機機械
1530,TSE,5,亞崴,電機機械
1531,TSE,5,高林股,電機機械
1532,TSE,5,勤美,電機機械
1533,TSE,12,車王電,汽車工業
1535,TSE,5,中宇,電機機械
1536,TSE,12,和大,汽車工業
1537,TSE,5,廣隆,電機機械
1538,TSE,5,正峰,電機機械
1539,TSE,5,巨庭,電機機械
1540,TSE,5,喬福,電機機械
1541,TSE,5,錩泰,電機機械
1558,TSE,5,伸興,電機機械
1560,TSE,5,中砂,電機機械
1565,OTC,22,精華,生技醫療
1568,TSE,12,倉佑,汽車工業
1569,OTC,25,濱川,電腦及週邊
1570,OTC,5,力肯,電機機械
1580,OTC,5,新麥,電機機械
1582,TSE,28,信錦,電子零組件
1583,TSE,5,程泰,電機機械
1584,OTC,20,精剛,其他
1586,OTC,5,和勤,電機機械
1587,TSE,12,吉茂,汽車工業
1589,TSE,5,永冠-KY,電機機械
1590,TSE,5,亞德客-KY,電機機械
1591,OTC,5,駿吉-KY,電機機械
1593,OTC,37,祺驊,運動休閒
1595,OTC,28,川寶,電子零組件
1597,TSE,5,直得,電機機械
1598,TSE,37,岱宇,運動休閒
1599,OTC,5,宏佳騰,電機機械
1603,TSE,6,華電,電器電纜
1604,TSE,6,聲寶,電器電纜
1605,TSE,6,華新,電器電纜
1608,TSE,6,華榮,電器電纜
1609,TSE,6,大亞,電器電纜
1611,TSE,6,中電,電器電纜
1612,TSE,6,宏泰,電器電纜
1614,TSE,6,三洋電,電器電纜
1615,TSE,6,大山,電器電纜
1616,TSE,6,億泰,電器電纜
1617,TSE,6,榮星,電器電纜
1618,TSE,6,合機,電器電纜
1626,TSE,6,艾美特-KY,電器電纜
1701,TSE,22,中化,生技醫療
1702,TSE,2,南僑,食品工業
1707,TSE,22,葡萄王,生技醫療
1708,TSE,21,東鹼,化學工業
1709,TSE,21,和益,化學工業
1710,TSE,21,東聯,化學工業
1711,TSE,21,永光,化學工業
1712,TSE,21,興農,化學工業
1713,TSE,21,國化,化學工業
1714,TSE,21,和桐,化學工業
1717,TSE,21,長興,化學工業
1718,TSE,21,中纖,化學工業
1720,TSE,22,生達,生技醫療
1721,TSE,21,三晃,化學工業
1722,TSE,21,台肥,化學工業
1723,TSE,21,中碳,化學工業
1725,TSE,21,元禎,化學工業
1726,TSE,21,永記,化學工業
1727,TSE,21,中華化,化學工業
1730,TSE,21,花仙子,化學工業
1731,TSE,22,美吾華,生技醫療
1732,TSE,21,毛寶,化學工業
1733,TSE,22,五鼎,生技醫療
1734,TSE,22,杏輝,生技醫療
1735,TSE,21,日勝化,化學工業
1736,TSE,37,喬山,運動休閒
1737,TSE,2,臺鹽,食品工業
1742,OTC,21,台蠟,化學工業
1752,TSE,22,南光,生技醫療
1760,TSE,22,寶齡富錦,生技醫療
1762,TSE,22,中化生,生技醫療
1773,TSE,21,勝一,化學工業
1776,TSE,21,展宇,化學工業
1777,OTC,22,生泰,生技醫療
1781,OTC,22,合世,生技醫療
1783,TSE,22,和康生,生技醫療
1784,OTC,22,訊聯,生技醫療
1785,OTC,31,光洋科,其他電子業
1786,TSE,22,科妍,生技醫療
1788,OTC,22,杏昌,生技醫療
1789,TSE,22,神隆,生技醫療
1795,TSE,22,美時,生技醫療
1796,OTC,2,金穎生技,食品工業
1799,OTC,22,易威,生技醫療
1802,TSE,8,台玻,玻璃陶瓷
1805,TSE,14,寶徠,建材營造
1806,TSE,8,冠軍,玻璃陶瓷
1808,TSE,14,潤隆,建材營造
1809,TSE,8,中釉,玻璃陶瓷
1810,TSE,8,和成,玻璃陶瓷
1813,OTC,22,寶利徠,生技醫療
1815,OTC,28,富喬,電子零組件
1817,TSE,8,凱撒衛,玻璃陶瓷
1903,TSE,9,士紙,造紙工業
1904,TSE,9,正隆,造紙工業
1905,TSE,9,華紙,造紙工業
1906,TSE,9,寶隆,造紙工業
1907,TSE,9,永豐餘,造紙工業
1909,TSE,9,榮成,造紙工業
2002,TSE,10,中鋼,鋼鐵工業
2006,TSE,10,東和鋼鐵,鋼鐵工業
2007,TSE,10,燁興,鋼鐵工業
2008,TSE,10,高興昌,鋼鐵工業
2009,TSE,10,第一銅,鋼鐵工業
2010,TSE,10,春源,鋼鐵工業
2012,TSE,10,春雨,鋼鐵工業
2013,TSE,10,中鋼構,鋼鐵工業
2014,TSE,10,中鴻,鋼鐵工業
2015,TSE,10,豐興,鋼鐵工業
2017,TSE,10,官田鋼,鋼鐵工業
2020,TSE,10,美亞,鋼鐵工業
2022,TSE,10,聚亨,鋼鐵工業
2023,TSE,10,燁輝,鋼鐵工業
2024,TSE,10,志聯,鋼鐵工業
2025,TSE,10,千興,鋼鐵工業
2027,TSE,10,大成鋼,鋼鐵工業
2028,TSE,10,威致,鋼鐵工業
2029,TSE,10,盛餘,鋼鐵工業
2030,TSE,10,彰源,鋼鐵工業
2031,TSE,10,新光鋼,鋼鐵工業
2032,TSE,10,新鋼,鋼鐵工業
2033,TSE,10,佳大,鋼鐵工業
2034,TSE,10,允強,鋼鐵工業
2035,OTC,10,唐榮,鋼鐵工業
2038,TSE,10,海光,鋼鐵工業
2049,TSE,5,上銀,電機機械
2059,TSE,28,川湖,電子零組件
2061,OTC,6,風青,電器電纜
2062,TSE,38,橋椿,居家生活
2063,OTC,10,世鎧,鋼鐵工業
2064,OTC,10,晉椿,鋼鐵工業
2065,OTC,10,世豐,鋼鐵工業
2066,OTC,5,世德,電機機械
2067,OTC,5,嘉鋼,電機機械
2069,TSE,10,運錩,鋼鐵工業
2070,OTC,5,精湛,電機機械
2073,OTC,10,雄順,鋼鐵工業
2101,TSE,11,南港,橡膠工業
2102,TSE,11,泰豐,橡膠工業
2103,TSE,11,台橡,橡膠工業
2104,TSE,11,國際中橡,橡膠工業
2105,TSE,11,正新,橡膠工業
2106,TSE,11,建大,橡膠工業
2107,TSE,11,厚生,橡膠工業
2108,TSE,11,南帝,橡膠工業
2109,TSE,11,華豐,橡膠工業
2114,TSE,11,鑫永銓,橡膠工業
2115,TSE,12,六暉-KY,汽車工業
2201,TSE,12,裕隆,汽車工業
2204,TSE,12,中華,汽車工業
2206,TSE,12,三陽工業,汽車工業
2207,TSE,12,和泰車,汽車工業
2208,TSE,15,台船,航運業
2211,TSE,10,長榮鋼,鋼鐵工業
2221,OTC,20,大甲,其他
2227,TSE,12,裕日車,汽車工業
2228,TSE,12,劍麟,汽車工業
